,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Star Wars: Episode III - Revenge of the Sith,-,-,-,"$380,270,577",3663,"$380,270,577",May 19,Twentieth Century Fox,False
1,2,Harry Potter and the Goblet of Fire,-,-,-,"$273,281,180",3858,"$290,013,036",Nov 18,Warner Bros.,False
2,3,War of the Worlds,-,-,-,"$234,280,354",3910,"$234,280,354",Jun 29,Paramount Pictures,False
3,4,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-,-,-,"$209,440,087",3853,"$291,710,957",Dec 9,Walt Disney Studios Motion Pictures,False
4,5,Wedding Crashers,-,-,-,"$209,253,921",3131,"$209,255,921",Jul 15,New Line Cinema,False
5,6,Charlie and the Chocolate Factory,-,-,-,"$206,459,076",3790,"$206,459,076",Jul 15,Warner Bros.,False
6,7,Batman Begins,-,-,-,"$205,343,774",3858,"$205,343,774",Jun 15,Warner Bros.,False
7,8,Madagascar,-,-,-,"$193,595,521",4142,"$193,595,521",May 27,DreamWorks Distribution,False
8,9,Mr. & Mrs. Smith,-,-,-,"$186,336,279",3451,"$186,336,279",Jun 10,Twentieth Century Fox,False
9,10,Hitch,-,-,-,"$179,495,555",3575,"$179,495,555",Feb 11,Sony Pictures Entertainment (SPE),False
10,11,King Kong,-,-,-,"$158,709,835",3627,"$218,080,025",Dec 14,Universal Pictures,False
11,12,The Longest Yard,-,-,-,"$158,119,460",3654,"$158,119,460",May 27,Paramount Pictures,False
12,13,Fantastic Four,-,-,-,"$154,696,080",3619,"$154,696,080",Jul 8,Twentieth Century Fox,False
13,14,Meet the Fockers,-,-,-,"$146,401,395",3554,"$279,261,160",Dec 22,Universal Pictures,False
14,15,Chicken Little,-,-,-,"$131,744,998",3658,"$135,386,665",Nov 4,Walt Disney Studios Motion Pictures,False
15,16,Robots,-,-,-,"$128,200,012",3776,"$128,200,012",Mar 11,Twentieth Century Fox,False
16,17,The Pacifier,-,-,-,"$113,086,868",3181,"$113,086,868",Mar 4,Walt Disney Studios Motion Pictures,False
17,18,The 40-Year-Old Virgin,-,-,-,"$109,449,237",3006,"$109,449,237",Aug 19,Universal Pictures,False
18,19,Million Dollar Baby,-,-,-,"$99,649,950",2375,"$100,492,203",Dec 15,Warner Bros.,False
19,20,Walk the Line,-,-,-,"$90,851,004",3160,"$119,519,402",Nov 18,Twentieth Century Fox,False
20,21,Flightplan,-,-,-,"$89,082,220",3424,"$89,707,299",Sep 23,Walt Disney Studios Motion Pictures,False
21,22,Saw II,-,-,-,"$86,996,234",2949,"$87,039,965",Oct 28,Lionsgate,False
22,23,Monster-in-Law,-,-,-,"$82,931,695",3424,"$82,931,301",May 13,New Line Cinema,False
23,24,Are We There Yet?,-,-,-,"$82,674,398",2810,"$82,674,398",Jan 21,Revolution Studios,False
24,25,The Dukes of Hazzard,-,-,-,"$80,270,227",3785,"$80,270,227",Aug 5,Warner Bros.,False
25,26,The Aviator,-,-,-,"$78,521,054",2530,"$102,610,330",Dec 17,Miramax,False
26,27,March of the Penguins,-,-,-,"$77,437,223",2506,"$77,437,223",Jun 24,Warner Independent Pictures (WIP),False
27,28,The Ring Two,-,-,-,"$76,231,249",3341,"$76,231,249",Mar 18,DreamWorks Distribution,False
28,29,Constantine,-,-,-,"$75,934,974",3006,"$75,976,178",Feb 18,Warner Bros.,False
29,30,The Exorcism of Emily Rose,-,-,-,"$75,072,454",3045,"$75,072,454",Sep 9,Screen Gems,False
30,31,Four Brothers,-,-,-,"$74,494,381",2649,"$74,494,381",Aug 12,Paramount Pictures,False
31,32,Sin City,-,-,-,"$74,102,841",3230,"$74,103,820",Apr 1,Dimension Films,False
32,33,The Interpreter,-,-,-,"$72,708,161",2814,"$72,708,161",Apr 22,Universal Pictures,False
33,34,Guess Who,-,-,-,"$68,915,888",3147,"$68,915,888",Mar 25,Sony Pictures Entertainment (SPE),False
34,35,Sahara,-,-,-,"$68,671,925",3200,"$68,671,925",Apr 8,Paramount Pictures,False
35,36,Coach Carter,-,-,-,"$67,264,877",2574,"$67,264,877",Jan 14,Paramount Pictures,False
36,37,Herbie Fully Loaded,-,-,-,"$66,023,816",3521,"$66,023,816",Jun 22,Walt Disney Studios Motion Pictures,False
37,38,The Amityville Horror,-,-,-,"$65,233,369",3323,"$65,233,369",Apr 15,Metro-Goldwyn-Mayer (MGM),False
38,39,Sky High,-,-,-,"$63,946,815",2912,"$63,946,815",Jul 29,Walt Disney Studios Motion Pictures,False
39,40,Bewitched,-,-,-,"$63,313,159",3188,"$63,313,159",Jun 24,Sony Pictures Entertainment (SPE),False
40,41,Jarhead,-,-,-,"$62,422,775",2448,"$62,658,220",Nov 4,Universal Pictures,False
41,42,Cinderella Man,-,-,-,"$61,649,911",2820,"$61,649,911",Jun 3,Universal Pictures,False
42,43,Red Eye,-,-,-,"$57,891,803",3134,"$57,891,803",Aug 19,DreamWorks Distribution,False
43,44,White Noise,-,-,-,"$56,386,759",2279,"$56,386,759",Jan 7,Universal Pictures,False
44,45,Be Cool,-,-,-,"$56,046,979",3216,"$56,046,979",Mar 4,Metro-Goldwyn-Mayer (MGM),False
45,46,The Curse of the Were-Rabbit,-,-,-,"$55,969,163",3656,"$56,110,897",Oct 5,DreamWorks Distribution,False
46,47,Fun with Dick and Jane,-,-,-,"$54,062,538",3239,"$110,332,737",Dec 21,Sony Pictures Entertainment (SPE),False
47,48,Crash,-,-,-,"$53,404,817",1905,"$54,580,300",May 6,Lionsgate,False
48,49,Corpse Bride,-,-,-,"$53,359,111",3204,"$53,359,111",Sep 16,Warner Bros.,False
49,50,Kicking & Screaming,-,-,-,"$52,842,724",3470,"$52,842,724",May 13,Universal Pictures,False
50,51,Hide and Seek,-,-,-,"$51,100,486",3005,"$51,100,486",Jan 28,Twentieth Century Fox,False
51,52,The Hitchhiker's Guide to the Galaxy,-,-,-,"$51,085,416",3133,"$51,085,416",Apr 29,Walt Disney Studios Motion Pictures,False
52,53,Sideways,-,-,-,"$50,635,185",1786,"$71,503,593",Oct 22,-,False
53,54,Diary of a Mad Black Woman,-,-,-,"$50,633,099",1703,"$50,633,099",Feb 25,Lionsgate,False
54,55,"Yours, Mine & Ours",-,-,-,"$50,328,659",3210,"$53,412,862",Nov 23,Paramount Pictures,False
55,56,Racing Stripes,-,-,-,"$49,772,522",3185,"$49,772,522",Jan 14,Warner Bros.,False
56,57,Miss Congeniality 2: Armed & Fabulous,-,-,-,"$48,478,006",3233,"$48,478,006",Mar 24,Warner Bros.,False
57,58,Just Like Heaven,-,-,-,"$48,318,130",3543,"$48,318,130",Sep 16,DreamWorks Distribution,False
58,59,The Skeleton Key,-,-,-,"$47,907,715",2784,"$47,907,715",Aug 12,Universal Pictures,False
59,60,Kingdom of Heaven,-,-,-,"$47,398,413",3219,"$47,398,413",May 6,Twentieth Century Fox,False
60,61,Boogeyman,-,-,-,"$46,752,382",3052,"$46,752,382",Feb 4,Screen Gems,False
61,62,Cheaper by the Dozen 2,-,-,-,"$45,958,914",3211,"$82,571,173",Dec 21,Twentieth Century Fox,False
62,63,In Good Company,-,-,-,"$45,695,490",1963,"$45,806,659",Dec 29,Universal Pictures,False
63,64,The Legend of Zorro,-,-,-,"$45,383,726",3520,"$46,464,023",Oct 28,Sony Pictures Entertainment (SPE),False
64,65,Must Love Dogs,-,-,-,"$43,894,863",2505,"$43,894,863",Jul 29,Warner Bros.,False
65,66,Transporter 2,-,-,-,"$43,095,856",3320,"$43,095,856",Sep 2,Twentieth Century Fox,False
66,67,Fever Pitch,-,-,-,"$42,071,069",3275,"$42,071,069",Apr 8,Twentieth Century Fox,False
67,68,The Family Stone,-,-,-,"$41,405,336",2469,"$60,062,868",Dec 16,Twentieth Century Fox,False
68,69,The Adventures of Sharkboy and Lavagirl 3-D,-,-,-,"$39,177,708",2655,"$39,177,684",Jun 10,Dimension Films,False
69,70,The Sisterhood of the Traveling Pants,-,-,-,"$39,053,061",2583,"$39,053,061",Jun 1,Warner Bros.,False
70,71,The Phantom of the Opera,-,-,-,"$38,311,922",1515,"$51,268,815",Dec 22,Warner Bros.,False
71,72,The Brothers Grimm,-,-,-,"$37,917,584",3098,"$37,916,267",Aug 26,Dimension Films,False
72,73,Beauty Shop,-,-,-,"$36,351,350",2659,"$36,351,350",Mar 30,Metro-Goldwyn-Mayer (MGM),False
73,74,Syriana,-,-,-,"$36,147,858",1775,"$50,824,620",Nov 23,Warner Bros.,False
74,75,The Island,-,-,-,"$35,818,913",3138,"$35,818,913",Jul 22,DreamWorks Distribution,False
75,76,Derailed,-,-,-,"$35,667,597",2447,"$36,024,076",Nov 11,The Weinstein Company,False
76,77,Hostage,-,-,-,"$34,636,671",2183,"$34,639,939",Mar 11,Miramax,False
77,78,A Series of Unfortunate Events,-,-,-,"$33,877,477",3623,"$118,634,549",Dec 17,Paramount Pictures,False
78,79,The Constant Gardener,-,-,-,"$33,578,235",1387,"$33,579,797",Aug 31,Focus Features,False
79,80,Pride & Prejudice,-,-,-,"$33,174,127",1335,"$38,405,088",Nov 11,Focus Features,False
80,81,Bad News Bears,-,-,-,"$32,868,349",3183,"$32,868,349",Jul 22,Paramount Pictures,False
81,82,In Her Shoes,-,-,-,"$32,828,678",2840,"$32,880,591",Oct 7,Twentieth Century Fox,False
82,83,Because of Winn-Dixie,-,-,-,"$32,647,042",3188,"$32,647,042",Feb 18,Twentieth Century Fox,False
83,84,Dreamer,-,-,-,"$32,605,604",2735,"$32,751,093",Oct 21,DreamWorks Distribution,False
84,85,Stealth,-,-,-,"$32,116,746",3495,"$32,116,746",Jul 29,Sony Pictures Entertainment (SPE),False
85,86,House of Wax,-,-,-,"$32,064,800",3111,"$32,064,800",May 6,Warner Bros.,False
86,87,The Wedding Date,-,-,-,"$31,726,995",1704,"$31,726,995",Feb 4,Universal Pictures,False
87,88,Just Friends,-,-,-,"$31,366,561",2505,"$32,619,671",Nov 23,New Line Cinema,False
88,89,A History of Violence,-,-,-,"$31,176,424",1348,"$31,504,633",Sep 23,New Line Cinema,False
89,90,Get Rich or Die Tryin',-,-,-,"$30,783,362",1666,"$30,985,352",Nov 9,Paramount Pictures,False
90,91,The Fog,-,-,-,"$29,511,112",2972,"$29,550,869",Oct 14,Revolution Studios,False
91,92,Rent,-,-,-,"$29,008,029",2437,"$29,077,547",Nov 23,Revolution Studios,False
92,93,Doom,-,-,-,"$28,212,337",3044,"$28,212,337",Oct 21,Universal Pictures,False
93,94,Zathura: A Space Adventure,-,-,-,"$28,045,540",3232,"$29,258,869",Nov 11,Sony Pictures Entertainment (SPE),False
94,95,Finding Neverland,-,-,-,"$27,860,541",1411,"$51,680,613",Nov 12,Miramax,False
95,96,xXx: State of the Union,-,-,-,"$26,873,932",3480,"$26,873,932",Apr 29,Revolution Studios,False
96,97,Elizabethtown,-,-,-,"$26,850,433",2517,"$26,850,426",Oct 14,Paramount Pictures,False
97,98,Serenity,-,-,-,"$25,514,517",2189,"$25,514,517",Sep 30,Universal Pictures,False
98,99,Dark Water2005 Re-release,-,-,-,"$25,473,352",2657,"$25,473,352",Jul 8,Walt Disney Studios Motion Pictures,False
99,100,Memoirs of a Geisha,-,-,-,"$25,323,884",1654,"$57,490,508",Dec 9,Sony Pictures Entertainment (SPE),False
100,101,Ocean's Twelve,-,-,-,"$25,127,623",3290,"$125,544,280",Dec 10,Warner Bros.,False
101,102,Æon Flux,-,-,-,"$24,845,514",2608,"$25,874,337",Dec 2,Paramount Pictures,False
102,103,Rumor Has It...,-,-,-,"$24,739,906",2815,"$43,000,262",Dec 25,Warner Bros.,False
103,104,Unleashed,-,-,-,"$24,537,116",1962,"$24,537,621",May 13,Rogue Pictures,False
104,105,Elektra,-,-,-,"$24,409,722",3204,"$24,409,722",Jan 14,Twentieth Century Fox,False
105,106,Ice Princess,-,-,-,"$24,402,491",2501,"$24,402,491",Mar 18,Walt Disney Studios Motion Pictures,False
106,107,Lord of War,-,-,-,"$24,149,632",2814,"$24,149,632",Sep 16,Lionsgate,False
107,108,"Good Night, and Good Luck.",-,-,-,"$23,443,621",929,"$31,558,003",Oct 7,Warner Independent Pictures (WIP),False
108,109,Hotel Rwanda,-,-,-,"$23,213,894",824,"$23,530,892",Dec 22,United Artists,False
109,110,Two for the Money,-,-,-,"$22,991,379",2397,"$22,991,379",Oct 7,Universal Pictures,False
110,111,National Treasure,-,-,-,"$22,886,909",3243,"$173,008,894",Nov 19,Walt Disney Studios Motion Pictures,False
111,112,Prime,-,-,-,"$22,827,153",1837,"$22,827,153",Oct 28,Universal Pictures,False
112,113,Deuce Bigalow: European Gigolo,-,-,-,"$22,400,154",3127,"$22,400,154",Aug 12,Sony Pictures Entertainment (SPE),False
113,114,Hustle & Flow,-,-,-,"$22,202,809",1016,"$22,202,809",Jul 22,Paramount Classics,False
114,115,Fat Albert,-,-,-,"$21,935,948",2744,"$48,116,322",Dec 25,Twentieth Century Fox,False
115,116,A Lot Like Love,-,-,-,"$21,845,719",2502,"$21,845,719",Apr 22,Walt Disney Studios Motion Pictures,False
116,117,Land of the Dead,-,-,-,"$20,700,082",2253,"$20,700,082",Jun 24,Universal Pictures,False
117,118,Assault on Precinct 13,-,-,-,"$20,043,091",2297,"$20,040,895",Jan 19,Rogue Pictures,False
118,119,Man of the House,-,-,-,"$19,699,706",2422,"$19,699,706",Feb 25,Sony Pictures Entertainment (SPE),False
119,120,Valiant,-,-,-,"$19,478,106",2016,"$19,478,106",Aug 19,Walt Disney Studios Motion Pictures,False
120,121,Cursed,-,-,-,"$19,298,687",2805,"$19,297,522",Feb 25,Dimension Films,False
121,122,The Upside of Anger,-,-,-,"$18,763,647",1166,"$18,761,993",Mar 11,New Line Cinema,False
122,123,Into the Blue,-,-,-,"$18,491,661",2789,"$18,801,234",Sep 30,Sony Pictures Entertainment (SPE),False
123,124,North Country,-,-,-,"$18,245,513",2555,"$18,337,722",Oct 21,Warner Bros.,False
124,125,Pooh's Heffalump Movie,-,-,-,"$18,098,433",2529,"$18,098,433",Feb 11,Walt Disney Studios Motion Pictures,False
125,126,Roll Bounce,-,-,-,"$17,372,536",1661,"$17,380,866",Sep 23,-,False
126,127,The Ringer,-,-,-,"$17,265,628",1853,"$35,428,675",Dec 23,-,False
127,128,Kung Fu Hustle,-,-,-,"$17,110,460",2503,"$17,108,591",Apr 8,Sony Pictures Classics,False
128,129,The Devil's Rejects,-,-,-,"$17,044,981",1757,"$17,044,981",Jul 22,Lionsgate,False
129,130,Son of the Mask,-,-,-,"$17,018,378",2966,"$17,018,422",Feb 18,New Line Cinema,False
130,131,Rebound,-,-,-,"$16,809,014",2464,"$16,809,014",Jul 1,Twentieth Century Fox,False
131,132,The Perfect Man,-,-,-,"$16,535,005",2090,"$16,535,005",Jun 17,Universal Pictures,False
132,133,Spanglish,-,-,-,"$16,240,247",2587,"$42,726,869",Dec 17,Sony Pictures Entertainment (SPE),False
