,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
43,44,Dinner for Schmucks,-,-,-,"$73,026,337",3046,"$73,026,337",Jul 30,DreamWorks,False
44,45,It's Complicated,-,-,-,"$72,359,500",2955,"$112,735,375",Dec 25,Universal Pictures,False
45,46,True Grit,-,-,-,"$70,420,123",3464,"$171,243,005",Dec 22,Paramount Pictures,False
46,47,The Bounty Hunter,-,-,-,"$67,061,228",3118,"$67,061,228",Mar 19,Sony Pictures Entertainment (SPE),False
47,48,Diary of a Wimpy Kid,-,-,-,"$64,003,625",3083,"$64,003,625",Mar 19,Twentieth Century Fox,False
48,49,The Sorcerer's Apprentice,-,-,-,"$63,150,991",3504,"$63,150,991",Jul 14,Walt Disney Studios Motion Pictures,False
49,50,A Nightmare on Elm Street,-,-,-,"$63,075,011",3332,"$63,075,011",Apr 30,Warner Bros.,False
50,51,The Last Song,-,-,-,"$62,950,384",2794,"$62,950,384",Mar 31,Walt Disney Studios Motion Pictures,False
51,52,The Wolfman,-,-,-,"$61,979,680",3223,"$61,979,680",Feb 12,Universal Pictures,False
52,53,Get Him to the Greek,-,-,-,"$60,974,475",2702,"$60,974,475",Jun 4,Universal Pictures,False
53,54,Resident Evil: Afterlife,-,-,-,"$60,128,566",3209,"$60,128,566",Sep 10,Screen Gems,False
54,55,Why Did I Get Married Too?,-,-,-,"$60,095,852",2155,"$60,095,852",Apr 2,Lionsgate,False
55,56,Tooth Fairy,-,-,-,"$60,022,256",3345,"$60,022,256",Jan 22,Twentieth Century Fox,False
56,57,The Blind Side,-,-,-,"$59,396,157",3407,"$255,959,475",Nov 20,Warner Bros.,False
57,58,Secretariat,-,-,-,"$58,876,848",3108,"$59,713,955",Oct 8,Walt Disney Studios Motion Pictures,False
58,59,Easy A,-,-,-,"$58,401,464",2974,"$58,401,464",Sep 17,Screen Gems,False
59,60,Takers,-,-,-,"$57,744,720",2206,"$57,744,720",Aug 27,Screen Gems,False
60,61,Yogi Bear,-,-,-,"$57,418,550",3515,"$100,246,011",Dec 17,Warner Bros.,False
61,62,Legend of the Guardians: The Owls of Ga'Hoole,-,-,-,"$55,486,413",3575,"$55,675,313",Sep 24,Warner Bros.,False
62,63,Letters to Juliet,-,-,-,"$53,032,453",2975,"$53,032,453",May 14,Summit Entertainment,False
63,64,Life as We Know It,-,-,-,"$52,727,343",3150,"$53,374,681",Oct 8,Warner Bros.,False
64,65,Wall Street: Money Never Sleeps,-,-,-,"$52,474,616",3597,"$52,474,616",Sep 24,Twentieth Century Fox,False
65,66,Predators,-,-,-,"$52,000,688",2669,"$52,000,688",Jul 9,Twentieth Century Fox,False
66,67,Hot Tub Time Machine,-,-,-,"$50,287,556",2771,"$50,287,556",Mar 26,Metro-Goldwyn-Mayer (MGM),False
67,68,Up in the Air,-,-,-,"$50,168,168",2218,"$83,823,381",Dec 4,Paramount Pictures,False
68,69,The Tourist,-,-,-,"$49,966,965",2756,"$67,631,157",Dec 10,Sony Pictures Entertainment (SPE),False
69,70,Kick-Ass,-,-,-,"$48,071,303",3065,"$48,071,303",Apr 16,Lionsgate,False
70,71,Killers,-,-,-,"$47,059,963",2859,"$47,059,963",Jun 4,Lionsgate,False
71,72,Saw 3D,-,-,-,"$45,710,178",2808,"$45,710,178",Oct 29,Lionsgate,False
72,73,Cop Out,-,-,-,"$44,875,481",3150,"$44,875,481",Feb 26,Warner Bros.,False
73,74,The Lovely Bones,-,-,-,"$43,795,809",2638,"$44,114,232",Dec 11,DreamWorks,False
74,75,Cats & Dogs: The Revenge of Kitty Galore,-,-,-,"$43,585,753",3705,"$43,585,753",Jul 30,Warner Bros.,False
75,76,Edge of Darkness,-,-,-,"$43,313,890",3066,"$43,313,890",Jan 29,Warner Bros.,False
76,77,Death at a Funeral,-,-,-,"$42,739,347",2459,"$42,739,347",Apr 16,Screen Gems,False
77,78,Step Up 3D,-,-,-,"$42,400,223",2439,"$42,400,223",Aug 6,Walt Disney Studios Motion Pictures,False
78,79,The Last Exorcism,-,-,-,"$41,034,350",2874,"$41,034,350",Aug 27,Lionsgate,False
79,80,Black Swan,-,-,-,"$40,866,343",2407,"$106,954,678",Dec 3,-,False
80,81,Legion,-,-,-,"$40,168,080",2476,"$40,168,080",Jan 22,Screen Gems,False
81,82,The Crazies,-,-,-,"$39,123,589",2479,"$39,123,589",Feb 26,Overture Films,False
82,83,The Fighter,-,-,-,"$39,041,794",2534,"$93,617,009",Dec 10,Paramount Pictures,False
83,84,Crazy Heart,-,-,-,"$38,983,106",1361,"$39,464,306",Dec 16,-,False
84,85,For Colored Girls,-,-,-,"$37,669,584",2127,"$37,729,698",Nov 5,Lionsgate,False
85,86,The Back-up Plan,-,-,-,"$37,490,007",3280,"$37,490,007",Apr 23,CBS Films,False
86,87,Burlesque,-,-,-,"$37,403,047",3037,"$39,440,655",Nov 24,Screen Gems,False
87,88,Vampires Suck,-,-,-,"$36,661,504",3233,"$36,661,504",Aug 18,Twentieth Century Fox,False
88,89,The American,-,-,-,"$35,606,376",2833,"$35,606,376",Sep 1,Focus Features,False
89,90,Green Zone,-,-,-,"$35,053,660",3004,"$35,053,660",Mar 12,Universal Pictures,False
90,91,Marmaduke,-,-,-,"$33,644,788",3213,"$33,644,788",Jun 4,Twentieth Century Fox,False
91,92,Devil,-,-,-,"$33,601,190",2811,"$33,601,190",Sep 17,Universal Pictures,False
92,93,Hereafter,-,-,-,"$32,684,455",2424,"$32,746,941",Oct 15,Warner Bros.,False
93,94,When in Rome,-,-,-,"$32,680,633",2456,"$32,680,633",Jan 29,Walt Disney Studios Motion Pictures,False
94,95,She's Out of My League,-,-,-,"$32,010,860",2958,"$32,010,860",Mar 12,Paramount Pictures,False
95,96,Scott Pilgrim vs. the World,-,-,-,"$31,524,275",2820,"$31,524,275",Aug 13,Universal Pictures,False
96,97,Charlie St. Cloud,-,-,-,"$31,162,545",2725,"$31,162,545",Jul 30,Universal Pictures,False
97,98,Love & Other Drugs,-,-,-,"$31,099,481",2458,"$32,367,005",Nov 24,Twentieth Century Fox,False
98,99,Morning Glory,-,-,-,"$30,727,814",2544,"$31,011,732",Nov 10,Paramount Pictures,False
99,100,Daybreakers,-,-,-,"$30,101,577",2523,"$30,101,577",Jan 8,Lionsgate,False
100,101,Nanny McPhee Returns,-,-,-,"$29,011,215",2798,"$29,011,215",Aug 20,Universal Pictures,False
101,102,The Princess and the Frog,-,-,-,"$28,365,871",3475,"$104,400,899",Nov 25,Walt Disney Studios Motion Pictures,False
102,103,The Switch,-,-,-,"$27,779,426",2017,"$27,779,426",Aug 20,Miramax,False
103,104,Brooklyn's Finest,-,-,-,"$27,163,593",1939,"$27,163,593",Mar 5,Overture Films,False
104,105,Machete,-,-,-,"$26,593,646",2678,"$26,593,646",Sep 3,Twentieth Century Fox,False
105,106,Ramona and Beezus,-,-,-,"$26,167,002",2719,"$26,167,002",Jul 23,Twentieth Century Fox,False
106,107,Leap Year,-,-,-,"$25,918,920",2512,"$25,918,920",Jan 8,Universal Pictures,False
107,108,You Again,-,-,-,"$25,702,053",2548,"$25,702,053",Sep 24,Walt Disney Studios Motion Pictures,False
108,109,Alpha and Omega,-,-,-,"$25,107,267",2625,"$25,107,267",Sep 17,Lionsgate,False
109,110,Piranha 3D,-,-,-,"$25,003,155",2491,"$25,003,155",Aug 20,-,False
110,111,Lottery Ticket,-,-,-,"$24,719,879",1974,"$24,719,879",Aug 20,Warner Bros.,False
111,112,The Spy Next Door,-,-,-,"$24,307,086",2924,"$24,307,086",Jan 15,Lionsgate,False
112,113,From Paris with Love,-,-,-,"$24,077,427",2722,"$24,077,427",Feb 5,Lionsgate,False
113,114,The Losers,-,-,-,"$23,591,432",2936,"$23,591,432",Apr 23,Warner Bros.,False
114,115,Faster,-,-,-,"$22,799,866",2470,"$23,240,020",Nov 24,CBS Films,False
115,116,How Do You Know,-,-,-,"$21,808,891",2483,"$30,212,620",Dec 17,Sony Pictures Entertainment (SPE),False
116,117,Just Wright,-,-,-,"$21,540,363",1831,"$21,540,363",May 14,-,False
117,118,Skyline,-,-,-,"$21,394,120",2883,"$21,393,620",Nov 12,Universal Pictures,False
118,119,Gulliver's Travels,-,-,-,"$21,121,717",3089,"$42,779,261",Dec 25,Twentieth Century Fox,False
119,120,The Next Three Days,-,-,-,"$21,102,239",2564,"$21,148,651",Nov 19,Lionsgate,False
120,121,The Kids Are All Right,-,-,-,"$20,811,365",994,"$20,811,365",Jul 9,Focus Features,False
121,122,Our Family Wedding,-,-,-,"$20,255,281",1609,"$20,255,281",Mar 12,-,False
122,123,Hubble,-,-,-,"$20,069,368",151,"$52,522,904",Mar 19,Warner Bros.,False
123,124,Oceans,-,-,-,"$19,422,319",1232,"$19,422,319",Apr 22,Walt Disney Studios Motion Pictures,False
124,125,Remember Me,-,-,-,"$19,068,240",2215,"$19,068,240",Mar 12,Summit Entertainment,False
125,126,Going the Distance,-,-,-,"$17,804,299",3030,"$17,804,299",Sep 3,Warner Bros.,False
126,127,The King's Speech,-,-,-,"$17,674,034",2584,"$135,453,143",Nov 26,The Weinstein Company,False
127,128,Furry Vengeance,-,-,-,"$17,630,465",3002,"$17,630,465",Apr 30,Summit Entertainment,False
128,129,Splice2010 Re-release,-,-,-,"$17,010,170",2450,"$17,010,170",Jun 4,Warner Bros.,False
129,130,The Ghost Writer,-,-,-,"$15,541,549",819,"$15,541,549",Feb 19,Summit Entertainment,False
130,131,Youth in Revolt,-,-,-,"$15,281,286",1873,"$15,281,286",Jan 8,-,False
131,132,My Soul to Take,-,-,-,"$14,744,435",2572,"$14,744,435",Oct 8,Universal Pictures,False
132,133,Repo Men,-,-,-,"$13,794,835",2521,"$13,794,835",Mar 19,Universal Pictures,False
133,134,Case 39,-,-,-,"$13,261,851",2212,"$13,261,851",Oct 1,Paramount Vantage,False
134,135,Let Me In,-,-,-,"$12,134,935",2042,"$12,134,935",Oct 1,Overture Films,False
135,136,The Twilight Saga: New Moon,-,-,-,"$12,111,242",4124,"$296,623,634",Nov 20,Summit Entertainment,False
136,137,Extraordinary Measures,-,-,-,"$12,068,313",2549,"$12,068,313",Jan 22,CBS Films,False
137,138,Invictus,-,-,-,"$10,814,231",2170,"$37,491,364",Dec 11,Warner Bros.,False
138,139,Avatar2010 Special Edition,-,-,-,"$10,741,486",812,"$10,741,486",Aug 27,Twentieth Century Fox,False
139,140,Jonah Hex,-,-,-,"$10,547,117",2825,"$10,547,117",Jun 18,Warner Bros.,False
140,141,127 Hours,-,-,-,"$10,203,228",916,"$18,335,230",Nov 5,-,False
141,142,The Girl with the Dragon Tattoo,-,-,-,"$10,092,799",202,"$10,095,170",Mar 19,Music Box Films,False
142,143,Nine,-,-,-,"$9,832,212",1412,"$19,676,965",Dec 18,The Weinstein Company,False
143,144,Did You Hear About the Morgans?,-,-,-,"$9,200,041",2718,"$29,580,087",Dec 18,Sony Pictures Entertainment (SPE),False
144,145,Get Low,-,-,-,"$9,110,406",570,"$9,176,933",Jul 30,Sony Pictures Classics,False
145,146,Fair Game,-,-,-,"$9,048,389",436,"$9,540,691",Nov 5,Summit Entertainment,False
146,147,The Young Victoria,-,-,-,"$9,031,882",476,"$11,001,272",Dec 18,Apparition,False
147,148,MacGruber,-,-,-,"$8,525,600",2551,"$8,525,600",May 21,Universal Pictures,False
148,149,A Single Man,-,-,-,"$7,931,309",354,"$9,176,000",Dec 11,The Weinstein Company,False
149,150,The Girl Who Played with Fire,-,-,-,"$7,635,737",185,"$7,638,241",Jul 9,Music Box Films,False
150,151,Cyrus,-,-,-,"$7,468,936",454,"$7,468,936",Jun 18,-,False
151,152,Babies,-,-,-,"$7,320,323",543,"$7,320,323",May 7,Focus Features,False
152,153,The Imaginarium of Doctor Parnassus,-,-,-,"$7,028,622",607,"$7,689,607",Dec 25,Sony Pictures Classics,False
153,154,Conviction2010 Re-release,-,-,-,"$6,783,129",672,"$6,783,129",Oct 15,-,False
154,155,City Island,-,-,-,"$6,671,036",269,"$6,671,036",Mar 19,Anchor Bay Films,False
155,156,The Last Station,-,-,-,"$6,617,867",354,"$6,617,867",Jan 15,Sony Pictures Classics,False
156,157,Waiting for Superman,-,-,-,"$6,417,135",330,"$6,417,135",Sep 24,Paramount Vantage,False
157,158,The Secret in Their Eyes,-,-,-,"$6,391,436",166,"$6,391,436",Apr 16,Sony Pictures Classics,False
158,159,It's Kind of a Funny Story,-,-,-,"$6,363,628",757,"$6,363,628",Oct 8,Focus Features,False
159,160,Winter's Bone,-,-,-,"$6,243,745",141,"$6,531,503",Jun 11,Roadside Attractions,False
160,161,Under the Sea 3D,-,-,-,"$5,894,782",108,"$36,262,926",Feb 13,Warner Bros.,False
161,162,The Warrior's Way,-,-,-,"$5,559,395",1622,"$5,666,340",Dec 3,Relativity Media,False
162,163,I Am Love,-,-,-,"$5,005,465",166,"$5,005,465",Jun 18,Magnolia Pictures,False
163,164,Precious,-,-,-,"$4,998,535",1003,"$47,566,524",Nov 6,Lionsgate,False
164,165,The Girl Who Kicked the Hornet's Nest,-,-,-,"$4,990,497",208,"$5,190,196",Oct 29,Music Box Films,False
165,166,An Education,-,-,-,"$4,963,224",763,"$12,574,914",Oct 9,Sony Pictures Classics,False
166,167,Mao's Last Dancer,-,-,-,"$4,817,770",137,"$4,817,770",Aug 20,The Samuel Goldwyn Company,False
167,168,Solitary Man,-,-,-,"$4,360,548",177,"$4,360,548",May 21,Anchor Bay Films,False
168,169,Greenberg,-,-,-,"$4,234,170",186,"$4,234,170",Mar 19,Focus Features,False
169,170,Please Give,-,-,-,"$4,033,574",272,"$4,033,574",Apr 30,Sony Pictures Classics,False
170,171,My Name Is Khan,-,-,-,"$4,018,771",125,"$4,018,771",Feb 12,-,False
171,172,To Save a Life,-,-,-,"$3,777,210",441,"$3,777,210",Jan 22,The Samuel Goldwyn Company,False
172,173,2012,-,-,-,"$3,763,166",3444,"$166,112,167",Nov 13,Sony Pictures Entertainment (SPE),False
173,174,The Runaways,-,-,-,"$3,573,673",244,"$3,573,673",Mar 19,Apparition,False
174,175,Broken Embraces,-,-,-,"$3,431,551",202,"$5,014,305",Nov 20,Sony Pictures Classics,False
175,176,Inside Job,-,-,-,"$3,409,430",250,"$4,312,735",Oct 8,Sony Pictures Classics,False
176,177,Lebanon,-,-,-,"$3,368,088",23,"$368,088",Aug 6,Sony Pictures Classics,False
177,178,Exit Through the Gift Shop,-,-,-,"$3,291,250",46,"$3,291,250",Apr 16,-,False
178,179,3 Idiots,-,-,-,"$3,268,210",156,"$6,532,874",Dec 23,Reliance Big Pictures,False
179,180,Catfish,-,-,-,"$3,237,343",143,"$3,237,343",Sep 17,Rogue Pictures,False
180,181,You Will Meet a Tall Dark Stranger,-,-,-,"$3,225,989",402,"$3,248,246",Sep 22,Sony Pictures Classics,False
181,182,Chloe,-,-,-,"$3,075,255",350,"$3,075,255",Mar 26,Sony Pictures Classics,False
182,183,Old Dogs,-,-,-,"$2,963,487",3425,"$49,492,060",Nov 25,Walt Disney Studios Motion Pictures,False
183,184,Joan Rivers: A Piece of Work,-,-,-,"$2,930,687",115,"$2,930,687",Jun 11,IFC Films,False
184,185,Letters to God,-,-,-,"$2,848,578",897,"$2,848,578",Apr 9,Vivendi Entertainment,False
185,186,Planet 51,-,-,-,"$2,783,781",3035,"$42,194,060",Nov 20,Sony Pictures Entertainment (SPE),False
186,187,The Hurt Locker,-,-,-,"$2,705,895",535,"$17,017,811",Jun 26,Summit Entertainment,False
187,188,N-Secure,-,-,-,"$2,595,644",486,"$2,595,644",Oct 15,Freestyle Releasing,False
188,189,Magnificent Desolation: Walking on the Moon,-,-,-,"$2,512,796",82,"$34,137,524",Sep 23,IMAX,False
189,190,Never Let Me Go,-,-,-,"$2,434,652",232,"$2,434,652",Sep 15,-,False
190,191,Twilight/New MoonDouble Bill,-,-,-,"$2,385,237",2037,"$2,385,237",Jun 29,Summit Entertainment,False
191,192,Fantastic Mr. Fox,-,-,-,"$2,358,363",2304,"$21,002,919",Nov 13,Twentieth Century Fox,False
192,193,Brothers,-,-,-,"$2,321,378",2088,"$28,544,157",Dec 4,Lionsgate,False
193,194,The White Ribbon,-,-,-,"$2,222,862",106,"$2,222,862",Dec 30,Sony Pictures Classics,False
194,195,A Prophet,-,-,-,"$2,087,720",83,"$2,087,720",Feb 26,Sony Pictures Classics,False
195,196,Tamara Drewe,-,-,-,"$1,907,257",59,"$560,391",Oct 8,Sony Pictures Classics,False
196,197,Harry Brown,-,-,-,"$1,818,681",67,"$1,818,681",Apr 30,The Samuel Goldwyn Company,False
197,198,Stone,-,-,-,"$1,810,078",125,"$1,810,078",Oct 8,Overture Films,False
198,199,The Road,-,-,-,"$1,798,592",396,"$8,117,000",Nov 25,-,False
199,200,Flipped,-,-,-,"$1,755,212",442,"$1,755,212",Aug 6,Warner Bros.,False
