,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Avatar,-,-,-,"$466,141,929",3461,"$749,766,139",Dec 18,Twentieth Century Fox,False
1,2,Toy Story 3,-,-,-,"$415,004,880",4028,"$415,004,880",Jun 18,Walt Disney Studios Motion Pictures,False
2,3,Alice in Wonderland,-,-,-,"$334,191,110",3739,"$334,191,110",Mar 5,Walt Disney Studios Motion Pictures,False
3,4,Iron Man 2,-,-,-,"$312,433,331",4390,"$312,433,331",May 7,Paramount Pictures,False
4,5,The Twilight Saga: Eclipse,-,-,-,"$300,531,751",4468,"$300,531,751",Jun 30,Summit Entertainment,False
5,6,Inception,-,-,-,"$292,558,188",3792,"$292,576,195",Jul 16,Warner Bros.,False
6,7,Harry Potter and the Deathly Hallows: Part 1,-,-,-,"$280,230,127",4125,"$295,983,305",Nov 19,Warner Bros.,False
7,8,Despicable Me,-,-,-,"$251,083,040",3602,"$251,513,985",Jul 9,Universal Pictures,False
8,9,Shrek Forever After,-,-,-,"$238,736,787",4386,"$238,736,787",May 21,DreamWorks,False
9,10,How to Train Your Dragon,-,-,-,"$217,581,231",4060,"$217,581,231",Mar 26,DreamWorks,False
10,11,The Karate Kid,-,-,-,"$176,591,618",3740,"$176,591,618",Jun 11,Sony Pictures Entertainment (SPE),False
11,12,Clash of the Titans,-,-,-,"$163,214,888",3802,"$163,214,888",Apr 2,Warner Bros.,False
12,13,Grown Ups,-,-,-,"$162,001,186",3534,"$162,001,186",Jun 25,Sony Pictures Entertainment (SPE),False
13,14,Tangled,-,-,-,"$161,284,390",3603,"$200,821,936",Nov 24,Walt Disney Studios Motion Pictures,False
14,15,Megamind,-,-,-,"$143,767,792",3949,"$148,415,853",Nov 5,DreamWorks,False
15,16,The Last Airbender,-,-,-,"$131,772,187",3203,"$131,772,187",Jul 1,Paramount Pictures,False
16,17,Shutter Island,-,-,-,"$128,012,934",3356,"$128,012,934",Feb 19,Paramount Pictures,False
17,18,The Other Guys,-,-,-,"$119,219,978",3651,"$119,219,978",Aug 6,Sony Pictures Entertainment (SPE),False
18,19,Salt,-,-,-,"$118,311,368",3612,"$118,311,368",Jul 23,Sony Pictures Entertainment (SPE),False
19,20,Tron: Legacy,-,-,-,"$117,540,071",3451,"$172,062,763",Dec 17,Walt Disney Studios Motion Pictures,False
20,21,Jackass 3D,-,-,-,"$117,052,883",3139,"$117,229,692",Oct 15,Paramount Pictures,False
21,22,Valentine's Day,-,-,-,"$110,485,654",3665,"$110,485,654",Feb 12,Warner Bros.,False
22,23,Sherlock Holmes,-,-,-,"$106,925,723",3626,"$209,028,679",Dec 25,Warner Bros.,False
23,24,Robin Hood,-,-,-,"$105,269,730",3505,"$105,269,730",May 14,Universal Pictures,False
24,25,The Expendables,-,-,-,"$103,068,524",3398,"$103,068,524",Aug 13,Lionsgate,False
25,26,Due Date,-,-,-,"$98,935,039",3365,"$100,539,043",Nov 5,Warner Bros.,False
26,27,Alvin and the Chipmunks: The Squeakquel,-,-,-,"$98,887,330",3747,"$219,614,612",Dec 23,Twentieth Century Fox,False
27,28,Date Night,-,-,-,"$98,711,404",3380,"$98,711,404",Apr 9,Twentieth Century Fox,False
28,29,Sex and the City 2,-,-,-,"$95,347,692",3445,"$95,347,692",May 27,Warner Bros.,False
29,30,The Book of Eli,-,-,-,"$94,835,059",3111,"$94,835,059",Jan 15,Warner Bros.,False
30,31,The Social Network,-,-,-,"$92,876,282",2921,"$96,962,694",Oct 1,Sony Pictures Entertainment (SPE),False
31,32,The Town,-,-,-,"$92,155,037",2935,"$92,186,262",Sep 17,Warner Bros.,False
32,33,Prince of Persia: The Sands of Time,-,-,-,"$90,759,676",3646,"$90,759,676",May 28,Walt Disney Studios Motion Pictures,False
33,34,RED,-,-,-,"$89,296,297",3349,"$90,380,162",Oct 15,Summit Entertainment,False
34,35,Percy Jackson & the Olympians: The Lightning Thief,-,-,-,"$88,768,303",3396,"$88,768,303",Feb 12,Twentieth Century Fox,False
35,36,Paranormal Activity 2,-,-,-,"$84,612,342",3239,"$84,752,907",Oct 22,Paramount Pictures,False
36,37,Little Fockers,-,-,-,"$84,557,425",3675,"$148,438,600",Dec 22,Universal Pictures,False
37,38,Eat Pray Love,-,-,-,"$80,574,010",3108,"$80,574,010",Aug 13,Sony Pictures Entertainment (SPE),False
38,39,The Chronicles of Narnia: The Voyage of the Dawn Treader,-,-,-,"$80,066,097",3555,"$104,386,950",Dec 10,Twentieth Century Fox,False
39,40,Dear John,-,-,-,"$80,014,842",3062,"$80,014,842",Feb 5,Screen Gems,False
40,41,Unstoppable,-,-,-,"$79,104,757",3261,"$81,562,942",Nov 12,Twentieth Century Fox,False
41,42,The A-Team,-,-,-,"$77,222,099",3544,"$77,222,099",Jun 11,Twentieth Century Fox,False
42,43,Knight and Day2010 Re-release,-,-,-,"$76,423,035",3104,"$76,423,035",Jun 23,Twentieth Century Fox,False
