,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Black Panther,-,-,-,"$700,059,566",4084,"$700,059,566",Feb 16,Walt Disney Studios Motion Pictures,False
1,2,Avengers: Infinity War,-,-,-,"$678,815,482",4474,"$678,815,482",Apr 27,Walt Disney Studios Motion Pictures,False
2,3,Incredibles 2,-,-,-,"$608,581,744",4410,"$608,581,744",Jun 15,Walt Disney Studios Motion Pictures,False
3,4,Jurassic World: Fallen Kingdom,-,-,-,"$417,719,760",4485,"$417,719,760",Jun 22,Universal Pictures,False
4,5,Deadpool 2,-,-,-,"$318,491,426",4349,"$318,491,426",May 18,Twentieth Century Fox,False
5,6,The Grinch,-,-,-,"$266,280,410",4141,"$270,620,950",Nov 9,Universal Pictures,False
6,7,Jumanji: Welcome to the Jungle,-,-,-,"$235,512,923",3849,"$404,515,480",Dec 20,Sony Pictures Entertainment (SPE),False
7,8,Mission: Impossible - Fallout,-,-,-,"$220,159,104",4395,"$220,159,104",Jul 27,Paramount Pictures,False
8,9,Ant-Man and the Wasp,-,-,-,"$216,648,740",4206,"$216,648,740",Jul 6,Walt Disney Studios Motion Pictures,False
9,10,Solo: A Star Wars Story,-,-,-,"$213,767,512",4381,"$213,767,512",May 25,Walt Disney Studios Motion Pictures,False
10,11,Venom,-,-,-,"$213,312,395",4250,"$213,515,506",Oct 5,Sony Pictures Entertainment (SPE),False
11,12,A Star Is Born,-,-,-,"$201,157,885",3904,"$215,288,866",Oct 5,Warner Bros.,False
12,13,Aquaman,-,-,-,"$199,059,824",4184,"$335,061,807",Dec 21,Warner Bros.,False
13,14,Bohemian Rhapsody,-,-,-,"$189,813,133",4000,"$216,428,042",Nov 2,Twentieth Century Fox,False
14,15,A Quiet Place,-,-,-,"$188,024,361",3808,"$188,024,361",Apr 6,Paramount Pictures,False
15,16,Ralph Breaks the Internet,-,-,-,"$177,616,854",4017,"$201,091,711",Nov 21,Walt Disney Studios Motion Pictures,False
16,17,Crazy Rich Asians,-,-,-,"$174,039,071",3865,"$174,532,921",Aug 15,Warner Bros.,False
17,18,Hotel Transylvania 3: Summer Vacation,-,-,-,"$168,786,400",4267,"$167,510,016",Jul 13,Sony Pictures Entertainment (SPE),False
18,19,Halloween,-,-,-,"$159,336,510",3990,"$159,342,015",Oct 19,Universal Pictures,False
19,20,Fantastic Beasts: The Crimes of Grindelwald,-,-,-,"$156,781,859",4163,"$159,555,901",Nov 16,Warner Bros.,False
20,21,The Meg,-,-,-,"$145,443,742",4118,"$145,443,742",Aug 10,Warner Bros.,False
21,22,Ocean's Eight,-,-,-,"$140,218,711",4145,"$140,218,711",Jun 8,Warner Bros.,False
22,23,Ready Player One,-,-,-,"$137,690,172",4234,"$137,690,172",Mar 29,Warner Bros.,False
23,24,The Greatest Showman,-,-,-,"$125,303,456",3342,"$174,340,174",Dec 20,Twentieth Century Fox,False
24,25,Mamma Mia! Here We Go Again,-,-,-,"$120,634,935",3514,"$120,634,935",Jul 20,Universal Pictures,False
25,26,The Nun,-,-,-,"$117,450,119",3876,"$117,450,119",Sep 7,Warner Bros.,False
26,27,Peter Rabbit,-,-,-,"$115,253,424",3725,"$115,253,424",Feb 9,Sony Pictures Entertainment (SPE),False
27,28,Creed II,-,-,-,"$112,448,520",3752,"$115,715,889",Nov 21,Metro-Goldwyn-Mayer (MGM),False
28,29,Spider-Man: Into the Spider-Verse,-,-,-,"$108,146,445",3813,"$190,241,310",Dec 14,Sony Pictures Entertainment (SPE),False
