,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
56,57,A Walk to Remember,-,-,-,"$41,281,092",2420,"$41,281,092",Jan 25,Warner Bros.,False
57,58,Orange County,-,-,-,"$41,076,018",2317,"$41,076,018",Jan 11,Paramount Pictures,False
58,59,Windtalkers,-,-,-,"$40,914,068",2898,"$40,914,068",Jun 14,Metro-Goldwyn-Mayer (MGM),False
59,60,Gosford Park,-,-,-,"$40,895,232",918,"$41,308,615",Dec 26,USA Films,False
60,61,Blue Crush,-,-,-,"$40,390,647",3015,"$40,390,647",Aug 16,Universal Pictures,False
61,62,The Master of Disguise,-,-,-,"$40,388,794",2568,"$40,388,794",Aug 2,Revolution Studios,False
62,63,I Am Sam,-,-,-,"$40,263,224",1450,"$40,311,852",Dec 28,New Line Cinema,False
63,64,Resident Evil,-,-,-,"$40,119,709",2528,"$40,119,709",Mar 15,Screen Gems,False
64,65,Collateral Damage,-,-,-,"$40,077,257",2824,"$40,077,257",Feb 8,Warner Bros.,False
65,66,Enough,-,-,-,"$40,007,742",2623,"$40,007,742",May 24,Sony Pictures Entertainment (SPE),False
66,67,Drumline,-,-,-,"$39,116,389",1837,"$56,399,184",Dec 13,Twentieth Century Fox,False
67,68,Undercover Brother,-,-,-,"$39,089,928",2169,"$39,089,928",May 31,Universal Pictures,False
68,69,Showtime,-,-,-,"$38,082,712",2917,"$38,082,712",Mar 15,Warner Bros.,False
69,70,40 Days and 40 Nights,-,-,-,"$37,950,822",2399,"$37,950,822",Mar 1,Miramax,False
70,71,Crossroads,-,-,-,"$37,191,304",2713,"$37,191,304",Feb 15,Paramount Pictures,False
71,72,Clockstoppers,-,-,-,"$36,989,956",2563,"$36,989,956",Mar 29,Paramount Pictures,False
72,73,The Mothman Prophecies,-,-,-,"$35,746,370",2331,"$35,746,370",Jan 25,Screen Gems,False
73,74,Star Trek: Nemesis,-,-,-,"$35,494,352",2711,"$43,254,409",Dec 13,Paramount Pictures,False
74,75,E.T. the Extra-Terrestrial20th Anniversary,-,-,-,"$35,306,015",3007,"$35,306,015",Mar 22,Universal Pictures,False
75,76,Jimmy Neutron: Boy Genius,-,-,-,"$35,234,466",3151,"$80,936,232",Dec 21,Paramount Pictures,False
76,77,K-19: The Widowmaker,-,-,-,"$35,168,966",2830,"$35,168,966",Jul 19,Paramount Pictures,False
77,78,Gangs of New York,-,-,-,"$34,325,000",2340,"$77,812,000",Dec 20,Miramax,False
78,79,In the Bedroom,-,-,-,"$33,985,039",1103,"$35,930,604",Nov 23,Miramax,False
79,80,Treasure Planet,-,-,-,"$33,767,017",3227,"$38,176,783",Nov 27,Walt Disney Studios Motion Pictures,False
80,81,I Spy,-,-,-,"$33,297,730",3182,"$33,561,137",Nov 1,Sony Pictures Entertainment (SPE),False
81,82,Friday After Next,-,-,-,"$32,351,900",1621,"$33,253,609",Nov 22,New Line Cinema,False
82,83,Vanilla Sky,-,-,-,"$31,997,193",2842,"$100,618,344",Dec 14,Paramount Pictures,False
83,84,Murder by Numbers,-,-,-,"$31,945,749",2663,"$31,945,749",Apr 19,Warner Bros.,False
84,85,One Hour Photo,-,-,-,"$31,587,882",1332,"$31,597,131",Aug 21,-,False
85,86,Monster's Ball,-,-,-,"$31,111,028",714,"$31,273,922",Dec 26,Lionsgate,False
86,87,Halloween: Resurrection,-,-,-,"$30,354,442",2094,"$30,354,442",Jul 12,Dimension Films,False
87,88,Queen of the Damned,-,-,-,"$30,336,800",2511,"$30,336,800",Feb 22,Warner Bros.,False
88,89,Dragonfly,-,-,-,"$30,323,400",2507,"$30,323,400",Feb 22,Universal Pictures,False
89,90,The Banger Sisters,-,-,-,"$30,307,416",2739,"$30,307,416",Sep 20,-,False
90,91,Bad Company,-,-,-,"$30,160,161",2944,"$30,160,161",Jun 7,Walt Disney Studios Motion Pictures,False
91,92,Space Station 3D,-,-,-,"$30,126,705",64,"$93,383,953",Apr 19,IMAX,False
92,93,Kate & Leopold,-,-,-,"$29,899,574",2467,"$47,121,859",Dec 25,Miramax,False
93,94,The New Guy,-,-,-,"$29,760,152",2687,"$29,760,152",May 10,Revolution Studios,False
94,95,Ghost Ship,-,-,-,"$29,662,862",2787,"$30,113,491",Oct 25,Warner Bros.,False
95,96,Harry Potter and the Sorcerer's Stone,-,-,-,"$29,059,541",3672,"$317,575,550",Nov 16,Warner Bros.,False
96,97,Analyze That,-,-,-,"$28,739,707",2635,"$32,130,627",Dec 6,Warner Bros.,False
97,98,Swimfan,-,-,-,"$28,564,995",2860,"$28,564,995",Sep 6,Twentieth Century Fox,False
98,99,The Crocodile Hunter: Collision Course,-,-,-,"$28,442,574",2535,"$28,442,574",Jul 12,Metro-Goldwyn-Mayer (MGM),False
99,100,Brown Sugar,-,-,-,"$27,273,283",1378,"$27,363,891",Oct 11,-,False
100,101,Blood Work,-,-,-,"$26,235,081",2525,"$26,235,081",Aug 9,Warner Bros.,False
101,102,All About the Benjamins,-,-,-,"$25,916,319",1519,"$25,916,319",Mar 8,New Line Cinema,False
102,103,The Transporter,-,-,-,"$25,272,510",2610,"$25,296,447",Oct 11,Twentieth Century Fox,False
103,104,Jonah: A VeggieTales Movie,-,-,-,"$25,230,712",1625,"$25,581,229",Oct 4,Artisan Entertainment,False
104,105,The Sweetest Thing,-,-,-,"$24,718,164",2670,"$24,718,164",Apr 12,Sony Pictures Entertainment (SPE),False
105,106,Beauty and the Beast2000 IMAX Release,-,-,-,"$24,168,654",68,"$25,487,190",Jan 1,Walt Disney Studios Motion Pictures,False
106,107,The Hot Chick,-,-,-,"$23,995,607",2246,"$35,081,594",Dec 13,Walt Disney Studios Motion Pictures,False
107,108,Eight Crazy Nights,-,-,-,"$23,341,502",2503,"$23,586,598",Nov 27,Sony Pictures Entertainment (SPE),False
108,109,City by the Sea,-,-,-,"$22,457,568",2575,"$22,449,000",Sep 6,Warner Bros.,False
109,110,The Wild Thornberrys,-,-,-,"$22,411,533",3012,"$40,108,697",Dec 20,Paramount Pictures,False
110,111,Ali,-,-,-,"$21,508,157",2521,"$58,203,105",Dec 25,Sony Pictures Entertainment (SPE),False
111,112,National Lampoon's Van Wilder,-,-,-,"$21,305,259",2104,"$21,305,259",Apr 5,Artisan Entertainment,False
112,113,Frida,-,-,-,"$20,518,988",794,"$25,885,000",Oct 25,Miramax,False
113,114,Martin Lawrence Live: Runteldat,-,-,-,"$19,184,820",774,"$19,184,820",Aug 2,Paramount Pictures,False
114,115,Hart's War,-,-,-,"$19,077,641",2459,"$19,077,641",Feb 15,Metro-Goldwyn-Mayer (MGM),False
115,116,Rollerball,-,-,-,"$18,990,798",2762,"$18,990,798",Feb 8,Metro-Goldwyn-Mayer (MGM),False
116,117,Tuck Everlasting,-,-,-,"$18,795,418",1460,"$19,161,999",Oct 11,Walt Disney Studios Motion Pictures,False
117,118,Super Troopers,-,-,-,"$18,492,362",1805,"$18,492,362",Feb 15,-,False
118,119,"Monsters, Inc.",-,-,-,"$18,407,006",3649,"$255,873,250",Nov 2,Walt Disney Studios Motion Pictures,False
119,120,The Four Feathers,-,-,-,"$18,306,166",2187,"$18,306,166",Sep 20,Paramount Pictures,False
120,121,Punch-Drunk Love,-,-,-,"$17,844,216",1293,"$17,844,216",Oct 11,Revolution Studios,False
121,122,Amélie,-,-,-,"$17,436,294",303,"$33,225,499",Nov 2,Miramax,False
122,123,Eight Legged Freaks,-,-,-,"$17,322,606",2530,"$17,322,606",Jul 17,Warner Bros.,False
123,124,The Country Bears,-,-,-,"$16,990,825",2553,"$16,990,825",Jul 26,Walt Disney Studios Motion Pictures,False
124,125,Serving Sara,-,-,-,"$16,930,185",2174,"$16,930,185",Aug 23,Paramount Pictures,False
125,126,White Oleander,-,-,-,"$16,357,770",1510,"$16,357,770",Oct 11,Warner Bros.,False
126,127,Kung Pow: Enter the Fist,-,-,-,"$16,037,962",2478,"$16,037,962",Jan 25,Twentieth Century Fox,False
127,128,Empire,-,-,-,"$15,413,065",869,"$17,600,423",Dec 6,Universal Pictures,False
128,129,Half Past Dead,-,-,-,"$15,374,912",2113,"$15,567,860",Nov 15,Sony Pictures Entertainment (SPE),False
129,130,Bowling for Columbine,-,-,-,"$15,364,197",248,"$21,576,018",Oct 11,United Artists,False
130,131,The Next Best Thing,-,-,-,"$14,986,688",2035,"$14,990,582",Mar 3,Paramount Pictures,False
131,132,Solaris,-,-,-,"$14,838,227",2406,"$14,973,382",Nov 27,Twentieth Century Fox,False
132,133,Life or Something Like It,-,-,-,"$14,448,589",2609,"$14,448,589",Apr 26,Twentieth Century Fox,False
133,134,Ballistic: Ecks vs. Sever,-,-,-,"$14,307,963",2705,"$14,307,963",Sep 20,Warner Bros.,False
134,135,Stealing Harvard,-,-,-,"$14,036,406",2366,"$14,036,406",Sep 13,Revolution Studios,False
135,136,The Good Girl,-,-,-,"$14,018,296",688,"$14,018,296",Aug 7,-,False
136,137,Monsoon Wedding,-,-,-,"$13,885,966",254,"$13,885,966",Feb 22,USA Films,False
137,138,And Your Mother Too,-,-,-,"$13,839,658",286,"$13,839,658",Mar 15,IFC Films,False
138,139,Hey Arnold! The Movie,-,-,-,"$13,728,902",2534,"$13,728,902",Jun 28,Paramount Pictures,False
139,140,The Emperor's Club,-,-,-,"$13,673,240",811,"$14,118,751",Nov 22,Universal Pictures,False
140,141,Juwanna Mann,-,-,-,"$13,670,733",1325,"$13,670,733",Jun 21,Warner Bros.,False
141,142,Feardotcom,-,-,-,"$13,258,249",2550,"$13,258,249",Aug 30,Warner Bros.,False
142,143,Jason X,-,-,-,"$13,121,555",1879,"$13,121,555",Apr 26,New Line Cinema,False
143,144,Frailty,-,-,-,"$13,110,448",1497,"$13,110,448",Apr 12,Lionsgate,False
144,145,How High,-,-,-,"$12,944,920",1273,"$31,178,740",Dec 21,Universal Pictures,False
145,146,Undisputed,-,-,-,"$12,764,457",1117,"$12,764,657",Aug 23,Miramax,False
146,147,They,-,-,-,"$12,616,304",1623,"$12,840,842",Nov 27,Dimension Films,False
147,148,The Majestic,-,-,-,"$11,884,012",2361,"$27,807,266",Dec 21,Warner Bros.,False
148,149,Knockaround Guys,-,-,-,"$11,693,962",1806,"$11,715,637",Oct 11,New Line Cinema,False
149,150,The Powerpuff Girls Movie,-,-,-,"$11,412,414",2340,"$11,412,414",Jul 3,Warner Bros.,False
150,151,CyberWorld,-,-,-,"$11,315,437",38,"$11,253,900",Oct 6,IMAX,False
151,152,Brotherhood of the Wolf,-,-,-,"$11,260,096",405,"$11,260,096",Jan 11,Universal Pictures,False
152,153,Abandon,-,-,-,"$10,727,683",2347,"$10,727,683",Oct 18,Paramount Pictures,False
153,154,Far from Heaven,-,-,-,"$10,303,978",291,"$15,901,849",Nov 8,Focus Features,False
154,155,Sorority Boys,-,-,-,"$10,200,032",1801,"$10,200,032",Mar 22,Walt Disney Studios Motion Pictures,False
155,156,Possession,-,-,-,"$10,113,616",619,"$10,113,733",Aug 16,Focus Features,False
156,157,S1m0ne,-,-,-,"$9,729,415",1920,"$9,688,676",Aug 23,New Line Cinema,False
157,158,The Shipping News,-,-,-,"$9,242,154",434,"$11,434,216",Dec 25,Miramax,False
158,159,Behind Enemy Lines,-,-,-,"$8,641,762",2844,"$58,856,790",Nov 30,Twentieth Century Fox,False
159,160,The Importance of Being Earnest,-,-,-,"$8,384,929",216,"$8,384,929",May 17,Miramax,False
160,161,Death to Smoochy,-,-,-,"$8,364,691",2164,"$8,364,691",Mar 29,Warner Bros.,False
161,162,Joe Somebody,-,-,-,"$8,194,551",2517,"$22,771,646",Dec 21,Twentieth Century Fox,False
162,163,Star Wars: Episode II - Attack of the Clones2002 IMAX Release,-,-,-,"$7,979,225",58,"$8,485,488",Nov 1,Twentieth Century Fox,False
163,164,Not Another Teen Movie,-,-,-,"$7,387,484",2365,"$38,252,284",Dec 14,Sony Pictures Entertainment (SPE),False
164,165,Shackleton's Antarctic Adventure,-,-,-,"$7,335,696",26,"$15,553,324",Feb 10,-,False
165,166,Big Trouble,-,-,-,"$7,267,307",1961,"$7,267,307",Apr 5,Walt Disney Studios Motion Pictures,False
166,167,Trapped,-,-,-,"$7,073,251",2227,"$7,073,251",Sep 20,Sony Pictures Entertainment (SPE),False
167,168,Kissing Jessica Stein,-,-,-,"$7,025,722",319,"$7,025,722",Mar 13,-,False
168,169,Moonlight Mile,-,-,-,"$6,788,377",437,"$6,835,856",Sep 27,Walt Disney Studios Motion Pictures,False
169,170,Spider-Man/Men in Black IIDouble Bill,-,-,-,"$6,632,970",2078,"$6,632,970",Sep 6,Sony Pictures Entertainment (SPE),False
170,171,Femme Fatale,-,-,-,"$6,630,252",1066,"$6,630,252",Nov 6,Warner Bros.,False
171,172,The Rules of Attraction,-,-,-,"$6,529,218",1437,"$6,532,619",Oct 11,Lionsgate,False
172,173,Impostor,-,-,-,"$6,285,176",1870,"$6,285,176",Jan 4,Miramax,False
173,174,Deuces Wild,-,-,-,"$6,080,065",1480,"$6,080,065",May 3,Metro-Goldwyn-Mayer (MGM),False
174,175,Iris,-,-,-,"$5,571,473",220,"$5,594,617",Dec 14,Miramax,False
175,176,Spirited Away,-,-,-,"$5,384,953",714,"$10,055,859",Sep 20,Walt Disney Studios Motion Pictures,False
176,177,The Truth About Charlie,-,-,-,"$5,350,371",755,"$5,350,371",Oct 25,Universal Pictures,False
177,178,Slackers,-,-,-,"$5,285,941",1893,"$5,285,941",Feb 1,Sony Pictures Entertainment (SPE),False
178,179,Formula 51,-,-,-,"$5,204,007",1857,"$5,204,007",Oct 18,Screen Gems,False
179,180,Real Women Have Curves,-,-,-,"$5,165,916",163,"$5,853,194",Oct 18,Newmarket Films,False
180,181,Birthday Girl,-,-,-,"$5,142,576",1000,"$5,142,576",Feb 1,Miramax,False
181,182,Hollywood Ending,-,-,-,"$4,850,753",772,"$4,850,753",May 3,DreamWorks Distribution,False
182,183,Extreme Ops,-,-,-,"$4,775,724",1800,"$4,842,259",Nov 27,Paramount Pictures,False
183,184,Igby Goes Down,-,-,-,"$4,706,595",156,"$4,777,465",Sep 13,Metro-Goldwyn-Mayer (MGM),False
184,185,Adaptation.,-,-,-,"$4,551,555",672,"$22,498,520",Dec 6,Sony Pictures Entertainment (SPE),False
185,186,Italian for Beginners,-,-,-,"$4,544,753",99,"$4,544,753",Jan 18,Miramax,False
186,187,The Adventures of Pluto Nash,-,-,-,"$4,420,080",2320,"$4,420,080",Aug 16,Warner Bros.,False
187,188,Lantana,-,-,-,"$4,338,191",108,"$4,623,189",Dec 14,Lionsgate,False
188,189,Enigma2001 Re-release,-,-,-,"$4,301,582",115,"$4,301,582",Apr 19,-,False
189,190,The Crime of Padre Amaro,-,-,-,"$4,293,774",137,"$5,717,044",Nov 15,IDP Distribution,False
190,191,The Other Side of Heaven,-,-,-,"$4,272,708",306,"$4,720,371",Dec 14,Excel Entertainment,False
191,192,Séraphin: Heart of Stone,-,-,-,"$4,265,443",123,"$6,749,187",Nov 29,Alliance Atlantis Vivafilm,False
192,193,Men with Brooms,-,-,-,"$4,245,870",207,"$4,245,870",Mar 8,Artisan Entertainment,False
193,194,Lovely & Amazing,-,-,-,"$4,222,923",175,"$4,222,923",Jun 28,Lionsgate,False
194,195,Ultimate X: The Movie,-,-,-,"$4,197,492",48,"$4,197,492",May 10,Walt Disney Studios Motion Pictures,False
195,196,Mostly Martha,-,-,-,"$4,133,232",143,"$4,160,475",Aug 16,Paramount Classics,False
196,197,Secretary,-,-,-,"$3,843,970",149,"$4,059,680",Sep 20,Lionsgate,False
197,198,Antwone Fisher,-,-,-,"$3,671,337",1021,"$21,078,145",Dec 19,-,False
198,199,T-Rex: Back to the Cretaceous,-,-,-,"$3,337,927",38,"$53,354,743",Oct 23,IMAX,False
199,200,Thirteen Conversations About One Thing,-,-,-,"$3,288,164",68,"$3,288,164",May 24,Sony Pictures Classics,False
