,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Spider-Man,-,-,-,"$403,706,375",3876,"$403,706,375",May 3,Sony Pictures Entertainment (SPE),False
1,2,Star Wars: Episode II - Attack of the Clones,-,-,-,"$302,191,252",3161,"$302,191,252",May 16,Twentieth Century Fox,False
2,3,Harry Potter and the Chamber of Secrets,-,-,-,"$243,867,371",3682,"$261,988,482",Nov 15,Warner Bros.,False
3,4,Signs,-,-,-,"$227,486,621",3453,"$227,966,634",Aug 2,Walt Disney Studios Motion Pictures,False
4,5,My Big Fat Greek Wedding,-,-,-,"$223,900,343",2016,"$241,438,208",Apr 19,IFC Films,False
5,6,The Lord of the Rings: The Two Towers,-,-,-,"$218,595,905",3622,"$339,789,881",Dec 18,New Line Cinema,False
6,7,Austin Powers in Goldmember,-,-,-,"$212,864,437",3613,"$213,307,889",Jul 26,New Line Cinema,False
7,8,Men in Black II,-,-,-,"$190,418,803",3641,"$190,418,803",Jul 3,Sony Pictures Entertainment (SPE),False
8,9,Ice Age,-,-,-,"$176,387,405",3345,"$176,387,405",Mar 15,Twentieth Century Fox,False
9,10,A Beautiful Mind,-,-,-,"$154,865,545",2250,"$170,742,341",Dec 21,Universal Pictures,False
10,11,Scooby-Doo,-,-,-,"$153,294,164",3447,"$153,294,164",Jun 14,Warner Bros.,False
11,12,The Lord of the Rings: The Fellowship of the Ring,-,-,-,"$149,492,899",3381,"$313,364,114",Dec 19,New Line Cinema,False
12,13,Die Another Day,-,-,-,"$148,765,559",3377,"$160,942,139",Nov 22,Metro-Goldwyn-Mayer (MGM),False
13,14,Lilo & Stitch,-,-,-,"$145,794,338",3222,"$145,794,338",Jun 21,Walt Disney Studios Motion Pictures,False
14,15,xXx,-,-,-,"$142,052,700",3536,"$142,109,382",Aug 9,Revolution Studios,False
15,16,The Santa Clause 2,-,-,-,"$136,568,619",3352,"$139,236,327",Nov 1,Walt Disney Studios Motion Pictures,False
16,17,Minority Report,-,-,-,"$132,072,926",3001,"$132,072,926",Jun 21,Twentieth Century Fox,False
17,18,The Ring,-,-,-,"$126,853,967",2927,"$129,128,133",Oct 18,DreamWorks Distribution,False
18,19,Mr. Deeds,-,-,-,"$126,293,452",3239,"$126,293,452",Jun 28,Sony Pictures Entertainment (SPE),False
19,20,Sweet Home Alabama,-,-,-,"$125,162,368",3313,"$127,223,418",Sep 27,Walt Disney Studios Motion Pictures,False
20,21,The Bourne Identity,-,-,-,"$121,661,683",2663,"$121,661,683",Jun 14,Universal Pictures,False
21,22,The Sum of All Fears,-,-,-,"$118,907,036",3230,"$118,907,036",May 31,Paramount Pictures,False
22,23,8 Mile,-,-,-,"$114,825,865",2585,"$116,750,901",Nov 8,Universal Pictures,False
23,24,Black Hawk Down,-,-,-,"$108,417,454",3143,"$108,638,745",Dec 28,Revolution Studios,False
24,25,Road to Perdition,-,-,-,"$104,454,762",2332,"$104,454,762",Jul 12,DreamWorks Distribution,False
25,26,Panic Room,-,-,-,"$96,397,334",3119,"$96,397,334",Mar 29,Sony Pictures Entertainment (SPE),False
26,27,Red Dragon,-,-,-,"$93,124,155",3363,"$93,149,898",Oct 4,Universal Pictures,False
27,28,The Scorpion King,-,-,-,"$91,047,077",3466,"$91,047,077",Apr 19,Universal Pictures,False
28,29,Spy Kids 2: Island of Lost Dreams,-,-,-,"$85,426,231",3307,"$85,846,429",Aug 7,Dimension Films,False
29,30,Blade II,-,-,-,"$82,348,319",2707,"$82,348,319",Mar 22,New Line Cinema,False
30,31,Snow Dogs,-,-,-,"$81,172,560",2454,"$81,172,560",Jan 18,Walt Disney Studios Motion Pictures,False
31,32,We Were Soldiers,-,-,-,"$78,122,718",3143,"$78,122,718",Mar 1,Paramount Pictures,False
32,33,Barbershop,-,-,-,"$75,600,370",2176,"$75,782,105",Sep 13,Metro-Goldwyn-Mayer (MGM),False
33,34,The Rookie,-,-,-,"$75,600,072",2543,"$75,600,072",Mar 29,Walt Disney Studios Motion Pictures,False
34,35,Spirit: Stallion of the Cimarron,-,-,-,"$73,280,117",3362,"$73,280,117",May 24,DreamWorks Distribution,False
35,36,John Q,-,-,-,"$71,756,802",2505,"$71,756,802",Feb 15,New Line Cinema,False
36,37,Divine Secrets of the Ya-Ya Sisterhood,-,-,-,"$69,599,016",2792,"$69,599,016",Jun 7,Warner Bros.,False
37,38,Insomnia,-,-,-,"$67,355,513",2610,"$67,355,513",May 24,Warner Bros.,False
38,39,Changing Lanes,-,-,-,"$66,818,548",2642,"$66,818,548",Apr 12,Paramount Pictures,False
39,40,Stuart Little 2,-,-,-,"$64,883,156",3282,"$64,956,806",Jul 19,Sony Pictures Entertainment (SPE),False
40,41,Jackass: The Movie,-,-,-,"$64,088,388",2532,"$64,255,312",Oct 25,Paramount Pictures,False
41,42,Catch Me If You Can,-,-,-,"$62,572,761",3225,"$164,615,351",Dec 25,DreamWorks Distribution,False
42,43,Maid in Manhattan,-,-,-,"$62,130,801",3050,"$94,011,225",Dec 13,Revolution Studios,False
43,44,The Time Machine,-,-,-,"$56,832,494",2958,"$56,832,494",Mar 8,DreamWorks Distribution,False
44,45,The Count of Monte Cristo,-,-,-,"$54,234,062",2211,"$54,234,062",Jan 25,Walt Disney Studios Motion Pictures,False
45,46,Unfaithful,-,-,-,"$52,775,765",2625,"$52,775,765",May 8,Twentieth Century Fox,False
46,47,Like Mike,-,-,-,"$51,432,760",2436,"$51,432,760",Jul 3,Twentieth Century Fox,False
47,48,Ocean's Eleven,-,-,-,"$51,268,627",3075,"$183,417,150",Dec 7,Warner Bros.,False
48,49,The Tuxedo,-,-,-,"$50,449,608",3022,"$50,547,998",Sep 27,DreamWorks Distribution,False
49,50,Two Weeks Notice,-,-,-,"$50,201,319",2755,"$93,354,851",Dec 20,Warner Bros.,False
50,51,Peter Pan 2: Return to Never Land,-,-,-,"$48,430,258",2626,"$48,430,258",Feb 15,Walt Disney Studios Motion Pictures,False
51,52,Big Fat Liar,-,-,-,"$48,360,547",2534,"$48,360,547",Feb 8,Universal Pictures,False
52,53,The Royal Tenenbaums,-,-,-,"$43,127,147",999,"$52,364,010",Dec 14,Walt Disney Studios Motion Pictures,False
53,54,Reign of Fire,-,-,-,"$43,061,982",2629,"$43,061,982",Jul 12,Walt Disney Studios Motion Pictures,False
54,55,High Crimes,-,-,-,"$41,543,917",2747,"$41,543,917",Apr 5,Twentieth Century Fox,False
55,56,About a Boy,-,-,-,"$41,385,278",1756,"$41,385,278",May 17,Universal Pictures,False
