,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Pirates of the Caribbean: Dead Man's Chest,-,-,-,"$423,317,154",4133,"$423,315,812",Jul 7,Walt Disney Studios Motion Pictures,False
1,2,Cars,-,-,-,"$244,082,982",3988,"$244,082,982",Jun 9,Walt Disney Studios Motion Pictures,False
2,3,X-Men: The Last Stand,-,-,-,"$234,362,462",3714,"$234,362,462",May 26,Twentieth Century Fox,False
3,4,The Da Vinci Code,-,-,-,"$217,536,138",3757,"$217,536,138",May 19,Sony Pictures Entertainment (SPE),False
4,5,Superman Returns,-,-,-,"$200,081,192",4065,"$200,081,192",Jun 28,Warner Bros.,False
5,6,Ice Age: The Meltdown,-,-,-,"$195,330,621",3969,"$195,330,621",Mar 31,Twentieth Century Fox,False
6,7,Happy Feet,-,-,-,"$175,967,627",3804,"$198,000,317",Nov 17,Warner Bros.,False
7,8,Over the Hedge,-,-,-,"$155,019,340",4093,"$155,019,340",May 19,DreamWorks,False
8,9,Casino Royale,-,-,-,"$153,531,944",3443,"$167,445,960",Nov 17,Sony Pictures Entertainment (SPE),False
9,10,Talladega Nights: The Ballad of Ricky Bobby,-,-,-,"$148,213,377",3807,"$148,213,377",Aug 4,Sony Pictures Entertainment (SPE),False
10,11,Click,-,-,-,"$137,355,633",3764,"$137,355,633",Jun 23,Revolution Studios,False
11,12,Mission: Impossible III,-,-,-,"$134,029,801",4059,"$134,029,801",May 5,Paramount Pictures,False
12,13,Borat,-,-,-,"$125,601,414",2611,"$128,505,958",Nov 3,Twentieth Century Fox,False
13,14,The Devil Wears Prada,-,-,-,"$124,740,460",2882,"$124,740,460",Jun 30,Twentieth Century Fox,False
14,15,The Departed,-,-,-,"$120,359,613",3017,"$132,384,315",Oct 6,Warner Bros.,False
15,16,The Break-Up,-,-,-,"$118,703,275",3146,"$118,703,275",Jun 2,Universal Pictures,False
16,17,Night at the Museum,-,-,-,"$115,822,154",3768,"$250,863,268",Dec 22,Twentieth Century Fox,False
