,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Guardians of the Galaxy,-,-,-,"$332,934,626",4088,"$333,176,600",Aug 1,Walt Disney Studios Motion Pictures,False
1,2,The Hunger Games: Mockingjay - Part 1,-,-,-,"$313,282,914",4151,"$337,135,885",Nov 21,Lionsgate,False
2,3,Captain America: The Winter Soldier,-,-,-,"$259,766,572",3938,"$259,766,572",Apr 4,Walt Disney Studios Motion Pictures,False
3,4,The Lego Movie,-,-,-,"$257,760,692",3890,"$257,760,692",Feb 7,Warner Bros.,False
4,5,Transformers: Age of Extinction,-,-,-,"$245,439,076",4233,"$245,439,076",Jun 27,Paramount Pictures,False
5,6,Maleficent,-,-,-,"$241,410,378",3948,"$241,410,378",May 30,Walt Disney Studios Motion Pictures,False
6,7,X-Men: Days of Future Past,-,-,-,"$233,921,534",4001,"$233,921,534",May 23,Twentieth Century Fox,False
7,8,Dawn of the Planet of the Apes,-,-,-,"$208,545,589",3969,"$208,545,589",Jul 11,Twentieth Century Fox,False
8,9,Big Hero 6,-,-,-,"$204,576,654",3773,"$222,527,828",Nov 7,Walt Disney Studios Motion Pictures,False
9,10,The Amazing Spider-Man 2,-,-,-,"$202,853,933",4324,"$202,853,933",May 2,Sony Pictures Entertainment (SPE),False
10,11,Godzilla,-,-,-,"$200,676,069",3952,"$200,676,069",May 16,Warner Bros.,False
11,12,22 Jump Street,-,-,-,"$191,719,337",3426,"$191,719,337",Jun 13,Sony Pictures Entertainment (SPE),False
12,13,Teenage Mutant Ninja Turtles,-,-,-,"$191,204,754",3980,"$191,204,754",Aug 8,Paramount Pictures,False
13,14,The Hobbit: The Battle of the Five Armies,-,-,-,"$189,549,326",3875,"$255,119,788",Dec 17,Warner Bros.,False
14,15,Interstellar,-,-,-,"$179,387,895",3561,"$188,020,017",Nov 5,Paramount Pictures,False
15,16,How to Train Your Dragon 2,-,-,-,"$177,002,924",4268,"$177,002,924",Jun 13,Twentieth Century Fox,False
16,17,Gone Girl,-,-,-,"$166,197,583",3284,"$167,767,189",Oct 3,Twentieth Century Fox,False
17,18,Divergent,-,-,-,"$150,947,895",3936,"$150,947,895",Mar 21,Lionsgate,False
18,19,Neighbors,-,-,-,"$150,157,400",3311,"$150,157,400",May 9,Universal Pictures,False
19,20,Frozen,-,-,-,"$137,645,361",3742,"$400,738,009",Nov 22,Walt Disney Studios Motion Pictures,False
20,21,Ride Along,-,-,-,"$134,938,200",2867,"$134,938,200",Jan 17,Universal Pictures,False
21,22,Rio 2,-,-,-,"$131,538,435",3975,"$131,538,435",Apr 11,Twentieth Century Fox,False
22,23,Lucy,-,-,-,"$126,663,600",3202,"$126,663,600",Jul 25,Universal Pictures,False
23,24,Lone Survivor,-,-,-,"$124,907,273",3285,"$125,095,601",Dec 25,Universal Pictures,False
24,25,The Fault in Our Stars,-,-,-,"$124,872,350",3340,"$124,872,350",Jun 6,Twentieth Century Fox,False
25,26,Mr. Peabody & Sherman,-,-,-,"$111,506,430",3951,"$111,506,430",Mar 7,Twentieth Century Fox,False
26,27,300: Rise of an Empire,-,-,-,"$106,580,051",3490,"$106,580,051",Mar 7,Warner Bros.,False
27,28,The Maze Runner,-,-,-,"$102,104,191",3638,"$102,427,862",Sep 19,Twentieth Century Fox,False
28,29,Noah,-,-,-,"$101,200,044",3571,"$101,200,044",Mar 28,Paramount Pictures,False
29,30,The Equalizer,-,-,-,"$100,915,604",3236,"$101,530,738",Sep 26,Sony Pictures Entertainment (SPE),False
30,31,Edge of Tomorrow,-,-,-,"$100,206,256",3505,"$100,206,256",Jun 6,Warner Bros.,False
31,32,Non-Stop,-,-,-,"$92,168,600",3183,"$92,168,600",Feb 28,Universal Pictures,False
32,33,Heaven Is for Real,-,-,-,"$91,443,253",3048,"$91,443,253",Apr 16,TriStar Pictures,False
33,34,Fury,-,-,-,"$85,244,339",3313,"$85,817,906",Oct 17,Sony Pictures Entertainment (SPE),False
34,35,Dumb and Dumber To,-,-,-,"$84,966,865",3188,"$86,208,010",Nov 14,Universal Pictures,False
35,36,Tammy,-,-,-,"$84,525,432",3465,"$84,525,432",Jul 2,Warner Bros.,False
36,37,Annabelle,-,-,-,"$84,273,813",3215,"$84,273,813",Oct 3,Warner Bros.,False
37,38,The Other Woman,-,-,-,"$83,911,193",3306,"$83,911,193",Apr 25,Twentieth Century Fox,False
38,39,American Hustle,-,-,-,"$82,599,283",2629,"$150,117,807",Dec 13,Sony Pictures Entertainment (SPE),False
39,40,Let's Be Cops,-,-,-,"$82,390,774",3140,"$82,390,774",Aug 13,Twentieth Century Fox,False
40,41,The Monuments Men,-,-,-,"$78,031,620",3083,"$78,031,620",Feb 7,Sony Pictures Entertainment (SPE),False
41,42,The Wolf of Wall Street,-,-,-,"$75,451,759",2557,"$116,900,694",Dec 25,Paramount Pictures,False
42,43,Penguins of Madagascar,-,-,-,"$74,028,222",3775,"$83,850,911",Nov 26,Twentieth Century Fox,False
43,44,Hercules,-,-,-,"$72,688,614",3595,"$72,688,614",Jul 25,Paramount Pictures,False
44,45,The Purge: Anarchy,-,-,-,"$71,962,800",2856,"$71,962,800",Jul 18,Universal Pictures,False
45,46,Night at the Museum: Secret of the Tomb,-,-,-,"$69,354,582",3914,"$113,746,621",Dec 19,Twentieth Century Fox,False
46,47,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",-,-,-,"$65,641,801",3117,"$66,954,149",Oct 10,Walt Disney Studios Motion Pictures,False
47,48,Think Like a Man Too,-,-,-,"$65,182,182",2225,"$65,182,182",Jun 20,Screen Gems,False
48,49,The Nut Job,-,-,-,"$64,251,541",3472,"$64,251,541",Jan 17,Open Road Films (II),False
49,50,Into the Woods,-,-,-,"$64,062,104",2833,"$128,002,372",Dec 25,Walt Disney Studios Motion Pictures,False
50,51,Unbroken,-,-,-,"$62,528,610",3301,"$115,637,895",Dec 25,Universal Pictures,False
51,52,God's Not Dead,-,-,-,"$60,755,732",1860,"$60,755,732",Mar 21,Freestyle Releasing,False
52,53,Son of God,-,-,-,"$59,700,064",3271,"$59,700,064",Feb 28,Twentieth Century Fox,False
53,54,Planes: Fire & Rescue,-,-,-,"$59,165,787",3839,"$59,165,787",Jul 18,Walt Disney Studios Motion Pictures,False
54,55,The Grand Budapest Hotel,-,-,-,"$59,076,019",1467,"$59,301,324",Mar 7,-,False
55,56,RoboCop,-,-,-,"$58,607,007",3372,"$58,607,007",Feb 12,Sony Pictures Entertainment (SPE),False
56,57,Annie,-,-,-,"$56,951,920",3197,"$85,911,262",Dec 19,Sony Pictures Entertainment (SPE),False
57,58,The Hobbit: The Desolation of Smaug,-,-,-,"$56,824,777",3928,"$258,366,855",Dec 13,Warner Bros.,False
58,59,Dracula Untold,-,-,-,"$55,991,880",2900,"$56,280,355",Oct 10,Universal Pictures,False
59,60,Exodus: Gods and Kings,-,-,-,"$55,727,340",3503,"$65,014,513",Dec 12,Twentieth Century Fox,False
60,61,The Hundred-Foot Journey,-,-,-,"$54,240,821",2167,"$54,240,821",Aug 8,Walt Disney Studios Motion Pictures,False
61,62,No Good Deed,-,-,-,"$52,651,326",2175,"$52,543,632",Sep 12,Screen Gems,False
62,63,Horrible Bosses 2,-,-,-,"$51,745,425",3400,"$54,445,357",Nov 26,Warner Bros.,False
63,64,Muppets Most Wanted,-,-,-,"$51,183,113",3194,"$51,183,113",Mar 21,Walt Disney Studios Motion Pictures,False
64,65,Ouija,-,-,-,"$50,856,010",2899,"$50,856,010",Oct 24,Universal Pictures,False
65,66,Jack Ryan: Shadow Recruit,-,-,-,"$50,577,412",3387,"$50,577,412",Jan 17,Paramount Pictures,False
66,67,The Boxtrolls,-,-,-,"$50,503,155",3464,"$50,837,305",Sep 26,Focus Features,False
67,68,If I Stay,-,-,-,"$50,474,843",3157,"$50,474,843",Aug 22,Warner Bros.,False
68,69,The Book of Life,-,-,-,"$49,323,100",3113,"$50,151,543",Oct 17,Twentieth Century Fox,False
69,70,About Last Night,-,-,-,"$48,637,684",2253,"$48,637,684",Feb 14,Screen Gems,False
70,71,Into the Storm,-,-,-,"$47,602,194",3434,"$47,602,194",Aug 8,Warner Bros.,False
71,72,Jersey Boys,-,-,-,"$47,047,013",2905,"$47,047,013",Jun 20,Warner Bros.,False
72,73,The Judge,-,-,-,"$47,003,241",3003,"$47,119,388",Oct 10,Warner Bros.,False
73,74,Blended,-,-,-,"$46,294,610",3555,"$46,294,610",May 23,Warner Bros.,False
74,75,The Giver,-,-,-,"$45,090,374",3003,"$45,090,374",Aug 15,The Weinstein Company,False
75,76,Need for Speed,-,-,-,"$43,577,636",3115,"$43,577,636",Mar 14,Walt Disney Studios Motion Pictures,False
76,77,A Million Ways to Die in the West,-,-,-,"$43,139,300",3160,"$43,139,300",May 30,Universal Pictures,False
77,78,St. Vincent,-,-,-,"$42,845,277",2552,"$44,137,712",Oct 10,The Weinstein Company,False
78,79,John Wick,-,-,-,"$42,820,432",2589,"$43,037,835",Oct 24,Lionsgate,False
79,80,Dolphin Tale 2,-,-,-,"$42,024,533",3656,"$42,024,533",Sep 12,Warner Bros.,False
80,81,The Expendables 3,-,-,-,"$39,322,544",3221,"$39,322,544",Aug 15,Lionsgate,False
81,82,Saving Mr. Banks,-,-,-,"$39,214,111",2671,"$83,301,580",Dec 13,Walt Disney Studios Motion Pictures,False
82,83,Earth to Echo,-,-,-,"$38,934,842",3230,"$38,934,842",Jul 2,Relativity Media,False
83,84,Sex Tape,-,-,-,"$38,543,473",3062,"$38,543,473",Jul 18,Sony Pictures Entertainment (SPE),False
84,85,August: Osage County,-,-,-,"$37,484,719",2411,"$37,738,810",Dec 27,The Weinstein Company,False
85,86,Million Dollar Arm,-,-,-,"$36,457,627",3019,"$36,457,627",May 16,Walt Disney Studios Motion Pictures,False
86,87,Anchorman 2: The Legend Continues,-,-,-,"$34,588,600",3507,"$125,168,368",Dec 18,Paramount Pictures,False
87,88,This Is Where I Leave You,-,-,-,"$34,296,320",2868,"$34,296,320",Sep 19,Warner Bros.,False
88,89,Paranormal Activity: The Marked Ones,-,-,-,"$32,462,372",2883,"$32,462,372",Jan 3,Paramount Pictures,False
89,90,Nightcrawler,-,-,-,"$31,825,147",2766,"$32,381,217",Oct 31,Open Road Films (II),False
90,91,Chef,-,-,-,"$31,424,003",1298,"$31,424,003",May 9,Open Road Films (II),False
91,92,Get on Up,-,-,-,"$30,703,100",2469,"$30,703,100",Aug 1,Universal Pictures,False
92,93,3 Days to Kill,-,-,-,"$30,697,999",2872,"$30,697,999",Feb 21,Relativity Media,False
93,94,Deliver Us from Evil,-,-,-,"$30,577,122",3049,"$30,577,122",Jul 2,Screen Gems,False
94,95,When the Game Stands Tall,-,-,-,"$30,127,963",2766,"$30,127,963",Aug 22,TriStar Pictures,False
95,96,The Hunger Games: Catching Fire,-,-,-,"$29,141,342",4163,"$424,668,047",Nov 22,Lionsgate,False
96,97,Draft Day,-,-,-,"$28,842,237",2781,"$28,842,237",Apr 11,Lionsgate,False
97,98,Oculus,-,-,-,"$27,695,246",2648,"$27,695,246",Apr 11,Relativity Media,False
98,99,The Secret Life of Walter Mitty,-,-,-,"$26,752,507",2922,"$58,236,838",Dec 25,Twentieth Century Fox,False
99,100,The Best of Me,-,-,-,"$26,703,582",2936,"$26,766,213",Oct 17,Relativity Media,False
100,101,A Walk Among the Tombstones,-,-,-,"$26,307,600",2714,"$26,307,600",Sep 19,Universal Pictures,False
101,102,That Awkward Moment,-,-,-,"$26,068,955",2809,"$26,068,955",Jan 31,Focus Features,False
102,103,The November Man,-,-,-,"$25,018,119",2776,"$25,018,119",Aug 27,Relativity Media,False
103,104,Birdman or (The Unexpected Virtue of Ignorance),-,-,-,"$24,273,045",1213,"$42,340,598",Oct 17,-,False
104,105,Boyhood,-,-,-,"$24,242,779",775,"$25,352,281",Jul 11,IFC Films,False
105,106,Her,-,-,-,"$23,761,722",1729,"$25,568,251",Dec 18,Warner Bros.,False
106,107,Endless Love,-,-,-,"$23,438,250",2896,"$23,438,250",Feb 14,Universal Pictures,False
107,108,The Theory of Everything,-,-,-,"$23,233,800",1220,"$35,893,537",Nov 7,Focus Features,False
108,109,Pompeii,-,-,-,"$23,219,748",2658,"$23,219,748",Feb 21,TriStar Pictures,False
109,110,Transcendence,-,-,-,"$23,022,309",3455,"$23,022,309",Apr 18,Warner Bros.,False
110,111,"As Above, So Below",-,-,-,"$21,321,100",2650,"$21,321,100",Aug 29,Universal Pictures,False
111,112,Top Five,-,-,-,"$20,407,608",1426,"$25,317,471",Dec 12,Paramount Pictures,False
112,113,Philomena,-,-,-,"$20,397,945",1225,"$37,709,979",Nov 22,The Weinstein Company,False
113,114,Brick Mansions,-,-,-,"$20,396,829",2647,"$20,396,829",Apr 25,Relativity Media,False
114,115,The Imitation Game,-,-,-,"$19,936,519",2402,"$91,125,683",Nov 28,The Weinstein Company,False
