,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
118,119,Panga,-,-,-,"$582,720",102,"$582,720",Jan 24,FIP,False
119,120,Midway,-,-,-,"$567,638",3242,"$56,846,802",Nov 8,Lionsgate,False
120,121,Black Christmas,-,-,-,"$562,060",2625,"$10,429,730",Dec 13,Universal Pictures,False
121,122,Synchronic,-,-,-,"$542,753",327,"$636,673",Oct 23,Well Go USA Entertainment,False
122,123,Guardians of the Galaxy2020 Re-release,-,-,-,"$542,000",1560,"$542,000",Nov 13,Walt Disney Studios Motion Pictures,False
123,124,Color Out of Space,-,-,-,"$541,918",81,"$765,561",Jan 24,RLJE Films,False
124,125,Followed,-,-,-,"$538,179",100,"$538,179",Jun 19,Global View Entertainment,False
125,126,Alone,-,-,-,"$537,589",173,"$537,589",Sep 18,Magnolia Pictures,False
126,127,Harriet,-,-,-,"$534,455",2186,"$43,082,155",Nov 1,Focus Features,False
127,128,Kajillionaire,-,-,-,"$531,430",547,"$531,430",Sep 25,Focus Features,False
128,129,The Addams Family,-,-,-,"$528,320",4107,"$100,044,905",Oct 11,United Artists Releasing,False
129,130,100% Wolf,-,-,-,"$514,957",124,"$658,764",Oct 9,Viva Pictures,False
130,131,The Big Ugly,-,-,-,"$514,107",68,"$514,107",Jul 24,Vertical Entertainment,False
131,132,The Call,-,-,-,"$505,746",195,"$516,521",Oct 2,Atlas Distribution Company,False
132,133,The Grinch2020 Re-release,-,-,-,"$502,781",450,"$473,781",Nov 27,Universal Pictures,False
133,134,Dark Waters,-,-,-,"$502,205",2112,"$11,136,084",Nov 22,Focus Features,False
134,135,The Forgotten Carols,-,-,-,"$500,692",70,"$502,252",Nov 20,Purdie Distribution,False
135,136,Spell,-,-,-,"$500,104",369,"$500,104",Oct 30,Paramount Pictures,False
136,137,Ava,-,-,-,"$497,747",252,"$497,747",Sep 25,Vertical Entertainment,False
137,138,Pinocchio,-,-,-,"$488,838",824,"$1,831,718",Dec 25,Roadside Attractions,False
138,139,Beauty and the Beast2020 Re-release,-,-,-,"$467,000",527,"$467,000",Jul 17,Walt Disney Pictures,False
139,140,Inside Out2020 Re-release,-,-,-,"$460,000",442,"$460,000",Jul 10,Walt Disney Pictures,False
140,141,Once Were Brothers,-,-,-,"$449,561",152,"$449,561",Feb 21,Magnolia Pictures,False
141,142,Seberg,-,-,-,"$434,702",373,"$434,702",Feb 21,Amazon Studios,False
142,143,Iron Man2020 Re-release,-,-,-,"$430,000",462,"$430,000",Jul 17,Walt Disney Pictures,False
143,144,Fantastic Fungi,-,-,-,"$429,446",37,"$1,788,322",Sep 20,Area 23a,False
144,145,Infamous,-,-,-,"$429,148",58,"$429,148",Jun 12,Vertical Entertainment,False
145,146,Tulsa,-,-,-,"$413,383",192,"$413,378",Aug 21,Pryor Entertainment,False
