,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Spider-Man 3,-,-,-,"$336,530,303",4324,"$336,530,303",May 4,Sony Pictures Entertainment (SPE),False
1,2,Shrek the Third,-,-,-,"$322,719,944",4172,"$322,719,944",May 18,DreamWorks,False
2,3,Transformers,-,-,-,"$319,246,193",4050,"$319,246,193",Jul 3,DreamWorks,False
3,4,Pirates of the Caribbean: At World's End,-,-,-,"$309,420,425",4362,"$309,420,425",May 25,Walt Disney Studios Motion Pictures,False
4,5,Harry Potter and the Order of the Phoenix,-,-,-,"$292,004,738",4285,"$292,004,738",Jul 11,Warner Bros.,False
5,6,The Bourne Ultimatum,-,-,-,"$227,471,070",3701,"$227,471,070",Aug 3,Universal Pictures,False
6,7,300,-,-,-,"$210,614,939",3280,"$210,614,939",Mar 9,Warner Bros.,False
7,8,Ratatouille,-,-,-,"$206,445,654",3940,"$206,445,654",Jun 29,Walt Disney Studios Motion Pictures,False
8,9,I Am Legend,-,-,-,"$199,345,154",3648,"$256,393,010",Dec 14,Warner Bros.,False
9,10,The Simpsons Movie,-,-,-,"$183,135,014",3926,"$183,135,014",Jul 27,Twentieth Century Fox,False
10,11,Wild Hogs,-,-,-,"$168,273,171",3401,"$168,273,550",Mar 2,Walt Disney Studios Motion Pictures,False
11,12,Knocked Up,-,-,-,"$148,768,917",2975,"$148,768,917",Jun 1,Universal Pictures,False
12,13,Alvin and the Chipmunks,-,-,-,"$147,077,315",3499,"$217,326,974",Dec 14,Twentieth Century Fox,False
13,14,Rush Hour 3,-,-,-,"$140,121,341",3778,"$140,125,968",Aug 10,New Line Cinema,False
14,15,Night at the Museum,-,-,-,"$135,041,114",3768,"$250,863,268",Dec 22,Twentieth Century Fox,False
15,16,Live Free or Die Hard,-,-,-,"$134,529,403",3411,"$134,529,403",Jun 27,Twentieth Century Fox,False
16,17,National Treasure: Book of Secrets,-,-,-,"$133,263,682",3832,"$219,964,115",Dec 21,Walt Disney Studios Motion Pictures,False
17,18,Fantastic Four: Rise of the Silver Surfer,-,-,-,"$131,921,738",3963,"$131,921,738",Jun 15,Twentieth Century Fox,False
18,19,American Gangster,-,-,-,"$129,078,590",3110,"$130,164,645",Nov 2,Universal Pictures,False
19,20,Bee Movie,-,-,-,"$124,350,490",3984,"$126,631,277",Nov 2,DreamWorks,False
20,21,Superbad,-,-,-,"$121,463,226",3069,"$121,463,226",Aug 17,Sony Pictures Entertainment (SPE),False
21,22,I Now Pronounce You Chuck & Larry,-,-,-,"$120,059,556",3501,"$120,059,556",Jul 20,Universal Pictures,False
22,23,Hairspray,-,-,-,"$118,868,940",3121,"$118,871,849",Jul 20,New Line Cinema,False
23,24,Blades of Glory,-,-,-,"$118,245,842",3467,"$118,594,548",Mar 30,DreamWorks,False
24,25,Ocean's Thirteen,-,-,-,"$117,154,724",3565,"$117,154,724",Jun 8,Warner Bros.,False
25,26,Ghost Rider,-,-,-,"$115,802,987",3620,"$115,802,596",Feb 16,Sony Pictures Entertainment (SPE),False
26,27,Enchanted,-,-,-,"$112,144,474",3730,"$127,807,262",Nov 21,Walt Disney Studios Motion Pictures,False
27,28,Evan Almighty,-,-,-,"$100,462,298",3636,"$100,462,298",Jun 22,Universal Pictures,False
28,29,Meet the Robinsons,-,-,-,"$97,822,171",3435,"$97,822,171",Mar 30,Walt Disney Studios Motion Pictures,False
29,30,Norbit,-,-,-,"$95,673,607",3145,"$95,673,607",Feb 9,DreamWorks,False
30,31,The Game Plan,-,-,-,"$88,814,831",3342,"$90,648,202",Sep 28,Walt Disney Studios Motion Pictures,False
31,32,Bridge to Terabithia,-,-,-,"$82,272,442",3210,"$82,272,442",Feb 16,Walt Disney Studios Motion Pictures,False
32,33,Beowulf,-,-,-,"$81,128,658",3249,"$82,280,579",Nov 16,Paramount Pictures,False
33,34,Disturbia,-,-,-,"$80,209,692",3132,"$80,209,692",Apr 13,DreamWorks,False
34,35,1408,-,-,-,"$71,985,628",2733,"$71,985,628",Jun 22,-,False
35,36,Fred Claus,-,-,-,"$71,350,103",3603,"$72,006,777",Nov 9,Warner Bros.,False
36,37,Dreamgirls,-,-,-,"$66,301,561",2797,"$103,365,956",Dec 15,DreamWorks,False
37,38,The Pursuit of Happyness,-,-,-,"$65,154,789",3169,"$163,566,459",Dec 15,Sony Pictures Entertainment (SPE),False
38,39,Saw IV,-,-,-,"$63,300,095",3183,"$63,300,095",Oct 26,Lionsgate,False
39,40,Stomp the Yard,-,-,-,"$61,356,221",2169,"$61,356,221",Jan 12,Screen Gems,False
40,41,The Golden Compass,-,-,-,"$59,861,000",3528,"$70,107,728",Dec 7,New Line Cinema,False
41,42,Surf's Up,-,-,-,"$58,867,694",3531,"$58,867,694",Jun 8,Sony Pictures Entertainment (SPE),False
42,43,Halloween,-,-,-,"$58,272,029",3475,"$58,272,029",Aug 31,-,False
43,44,Why Did I Get Married?,-,-,-,"$55,204,525",2034,"$55,204,525",Oct 12,Lionsgate,False
44,45,TMNT,-,-,-,"$54,149,098",3120,"$54,149,098",Mar 23,Warner Bros.,False
45,46,3:10 to Yuma,-,-,-,"$53,606,916",3006,"$53,606,916",Sep 7,Lionsgate,False
46,47,Resident Evil: Extinction,-,-,-,"$50,648,679",2848,"$50,648,679",Sep 21,Screen Gems,False
47,48,Music and Lyrics,-,-,-,"$50,572,589",2955,"$50,572,589",Feb 14,Warner Bros.,False
48,49,Are We Done Yet?,-,-,-,"$49,662,533",2944,"$49,662,533",Apr 4,Revolution Studios,False
49,50,This Christmas,-,-,-,"$48,840,289",1921,"$49,121,934",Nov 21,Screen Gems,False
50,51,Premonition,-,-,-,"$47,852,604",2831,"$47,852,604",Mar 16,Sony Pictures Entertainment (SPE),False
51,52,The Kingdom,-,-,-,"$47,536,778",2836,"$47,536,778",Sep 28,Universal Pictures,False
52,53,Shooter,-,-,-,"$47,003,582",2806,"$47,003,582",Mar 23,Paramount Pictures,False
53,54,Dan in Real Life,-,-,-,"$46,864,245",1941,"$47,642,963",Oct 26,Walt Disney Studios Motion Pictures,False
54,55,License to Wed,-,-,-,"$43,799,818",2715,"$43,799,818",Jul 3,Warner Bros.,False
55,56,Underdog,-,-,-,"$43,760,605",3013,"$43,760,605",Aug 3,Walt Disney Studios Motion Pictures,False
56,57,No Reservations,-,-,-,"$43,107,979",2425,"$43,107,979",Jul 27,Warner Bros.,False
57,58,Because I Said So,-,-,-,"$42,674,040",2529,"$42,674,040",Feb 2,Universal Pictures,False
58,59,No Country for Old Men,-,-,-,"$41,615,476",2037,"$74,283,625",Nov 9,Miramax,False
59,60,Epic Movie,-,-,-,"$39,739,367",2840,"$39,739,367",Jan 26,Twentieth Century Fox,False
60,61,30 Days of Night,-,-,-,"$39,569,000",2859,"$39,569,000",Oct 19,Sony Pictures Entertainment (SPE),False
61,62,Hitman,-,-,-,"$39,219,918",2468,"$39,687,694",Nov 21,Twentieth Century Fox,False
62,63,Michael Clayton,-,-,-,"$39,148,591",2585,"$49,033,882",Oct 5,Warner Bros.,False
63,64,Fracture,-,-,-,"$39,012,844",2443,"$39,015,018",Apr 20,New Line Cinema,False
64,65,Charlie Wilson's War,-,-,-,"$38,664,845",2594,"$66,661,095",Dec 21,Universal Pictures,False
