,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Harry Potter and the Deathly Hallows: Part 2,-,-,-,"$381,011,219",4375,"$381,011,219",Jul 15,Warner Bros.,False
1,2,Transformers: Dark of the Moon,-,-,-,"$352,390,543",4088,"$352,390,543",Jun 29,DreamWorks,False
2,3,The Twilight Saga: Breaking Dawn - Part 1,-,-,-,"$274,841,954",4066,"$281,287,133",Nov 18,Summit Entertainment,False
3,4,The Hangover Part II,-,-,-,"$254,464,305",3675,"$254,464,305",May 26,Warner Bros.,False
4,5,Pirates of the Caribbean: On Stranger Tides,-,-,-,"$241,071,802",4164,"$241,071,802",May 20,Walt Disney Studios Motion Pictures,False
5,6,Fast Five,-,-,-,"$209,837,675",3793,"$209,837,675",Apr 29,Universal Pictures,False
6,7,Cars 2,-,-,-,"$191,452,396",4115,"$191,452,396",Jun 24,Walt Disney Studios Motion Pictures,False
7,8,Thor,-,-,-,"$181,030,624",3963,"$181,030,624",May 6,Paramount Pictures,False
8,9,Rise of the Planet of the Apes,-,-,-,"$176,760,185",3691,"$176,760,185",Aug 5,Twentieth Century Fox,False
9,10,Captain America: The First Avenger,-,-,-,"$176,654,505",3715,"$176,654,505",Jul 22,Paramount Pictures,False
10,11,The Help,-,-,-,"$169,480,526",3014,"$169,708,112",Aug 10,Walt Disney Studios Motion Pictures,False
11,12,Bridesmaids,-,-,-,"$169,106,725",2958,"$169,106,725",May 13,Universal Pictures,False
12,13,Kung Fu Panda 2,-,-,-,"$165,249,063",3952,"$165,249,063",May 26,DreamWorks,False
13,14,X-Men: First Class,-,-,-,"$146,408,305",3692,"$146,408,305",Jun 3,Twentieth Century Fox,False
14,15,Puss in Boots,-,-,-,"$145,250,950",3963,"$149,260,504",Oct 28,DreamWorks,False
15,16,Rio,-,-,-,"$143,619,709",3842,"$143,619,809",Apr 15,Twentieth Century Fox,False
16,17,The Smurfs,-,-,-,"$142,614,158",3427,"$142,614,158",Jul 29,Sony Pictures Entertainment (SPE),False
17,18,Super 8,-,-,-,"$127,004,179",3424,"$127,004,179",Jun 10,Paramount Pictures,False
18,19,Sherlock Holmes: A Game of Shadows,-,-,-,"$124,051,629",3703,"$186,848,418",Dec 16,Warner Bros.,False
19,20,Rango,-,-,-,"$123,477,607",3923,"$123,477,607",Mar 4,Paramount Pictures,False
20,21,Mission: Impossible - Ghost Protocol,-,-,-,"$122,347,325",3555,"$209,397,903",Dec 16,Paramount Pictures,False
21,22,The King's Speech,-,-,-,"$117,779,109",2584,"$135,453,143",Nov 26,The Weinstein Company,False
22,23,Horrible Bosses,-,-,-,"$117,538,559",3134,"$117,538,559",Jul 8,Warner Bros.,False
23,24,Green Lantern,-,-,-,"$116,601,172",3816,"$116,601,172",Jun 17,Warner Bros.,False
24,25,Hop,-,-,-,"$108,085,305",3616,"$108,085,305",Apr 1,Universal Pictures,False
25,26,Paranormal Activity 3,-,-,-,"$103,971,383",3329,"$104,028,807",Oct 21,Paramount Pictures,False
26,27,Just Go with It,-,-,-,"$103,028,109",3548,"$103,028,109",Feb 11,Sony Pictures Entertainment (SPE),False
27,28,True Grit,-,-,-,"$100,822,882",3464,"$171,243,005",Dec 22,Paramount Pictures,False
28,29,Bad Teacher,-,-,-,"$100,292,856",3049,"$100,292,856",Jun 24,Sony Pictures Entertainment (SPE),False
29,30,Cowboys & Aliens,-,-,-,"$100,240,551",3754,"$100,240,551",Jul 29,Universal Pictures,False
30,31,Gnomeo & Juliet,-,-,-,"$99,967,673",3037,"$99,967,670",Feb 11,Walt Disney Studios Motion Pictures,False
31,32,The Green Hornet,-,-,-,"$98,780,042",3584,"$98,780,042",Jan 14,Sony Pictures Entertainment (SPE),False
32,33,The Lion King2011 3D Release,-,-,-,"$94,231,005",2340,"$94,242,001",Sep 16,Walt Disney Studios Motion Pictures,False
33,34,Alvin and the Chipmunks: Chipwrecked,-,-,-,"$88,151,196",3734,"$133,110,742",Dec 16,Twentieth Century Fox,False
34,35,Real Steel,-,-,-,"$84,367,160",3440,"$85,468,508",Oct 7,Walt Disney Studios Motion Pictures,False
35,36,"Crazy, Stupid, Love.",-,-,-,"$84,351,197",3020,"$84,351,197",Jul 29,Warner Bros.,False
36,37,Battle Los Angeles,-,-,-,"$83,552,429",3417,"$83,552,429",Mar 11,Sony Pictures Entertainment (SPE),False
37,38,Immortals,-,-,-,"$82,603,008",3120,"$83,504,017",Nov 11,Relativity Media,False
38,39,The Muppets,-,-,-,"$81,795,283",3440,"$88,631,237",Nov 23,Walt Disney Studios Motion Pictures,False
39,40,Zookeeper,-,-,-,"$80,360,843",3482,"$80,360,843",Jul 8,Sony Pictures Entertainment (SPE),False
40,41,Limitless,-,-,-,"$79,249,455",2838,"$79,249,455",Mar 18,Relativity Media,False
41,42,Tower Heist,-,-,-,"$76,650,420",3370,"$78,046,570",Nov 4,Universal Pictures,False
42,43,Contagion,-,-,-,"$75,658,097",3222,"$75,658,097",Sep 9,Warner Bros.,False
43,44,Moneyball,-,-,-,"$74,896,695",3018,"$75,605,492",Sep 23,Sony Pictures Entertainment (SPE),False
44,45,Justin Bieber: Never Say Never,-,-,-,"$73,013,910",3118,"$73,013,910",Feb 11,Paramount Pictures,False
