,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,The Avengers,-,-,-,"$623,357,910",4349,"$623,357,910",May 4,Walt Disney Studios Motion Pictures,False
1,2,The Dark Knight Rises,-,-,-,"$448,139,099",4404,"$448,139,099",Jul 20,Warner Bros.,False
2,3,The Hunger Games,-,-,-,"$408,010,692",4137,"$408,010,692",Mar 23,Lionsgate,False
3,4,Skyfall,-,-,-,"$290,904,271",3526,"$304,360,277",Nov 9,Sony Pictures Entertainment (SPE),False
4,5,The Twilight Saga: Breaking Dawn - Part 2,-,-,-,"$286,422,893",4070,"$292,324,737",Nov 16,Lionsgate,False
5,6,The Amazing Spider-Man,-,-,-,"$262,030,663",4318,"$262,030,663",Jul 3,Sony Pictures Entertainment (SPE),False
6,7,Brave,-,-,-,"$237,259,676",4164,"$237,283,207",Jun 22,Walt Disney Studios Motion Pictures,False
7,8,The Hobbit: An Unexpected Journey,-,-,-,"$228,546,604",4100,"$303,003,568",Dec 14,Warner Bros.,False
8,9,Ted,-,-,-,"$218,815,487",3303,"$218,815,487",Jun 29,Universal Pictures,False
9,10,Madagascar 3: Europe's Most Wanted,-,-,-,"$216,391,482",4263,"$216,391,482",Jun 8,DreamWorks,False
10,11,The Lorax,-,-,-,"$214,030,500",3769,"$214,030,500",Mar 2,Universal Pictures,False
11,12,Men in Black 3,-,-,-,"$179,020,854",4248,"$179,020,854",May 25,Sony Pictures Entertainment (SPE),False
12,13,Wreck-It Ralph,-,-,-,"$175,990,019",3752,"$189,422,889",Nov 2,Walt Disney Studios Motion Pictures,False
13,14,Ice Age: Continental Drift,-,-,-,"$161,139,599",3886,"$161,321,843",Jul 13,Twentieth Century Fox,False
14,15,Snow White and the Huntsman,-,-,-,"$155,332,381",3777,"$155,332,381",Jun 1,Universal Pictures,False
15,16,Hotel Transylvania,-,-,-,"$145,321,690",3375,"$148,313,048",Sep 28,Sony Pictures Entertainment (SPE),False
16,17,Taken 2,-,-,-,"$138,936,379",3706,"$139,854,287",Oct 5,Twentieth Century Fox,False
17,18,21 Jump Street,-,-,-,"$138,447,667",3148,"$138,447,667",Mar 16,Sony Pictures Entertainment (SPE),False
18,19,Lincoln,-,-,-,"$134,189,097",2293,"$182,207,973",Nov 9,Walt Disney Studios Motion Pictures,False
19,20,Prometheus,-,-,-,"$126,477,084",3442,"$126,477,084",Jun 8,Twentieth Century Fox,False
20,21,Safe House,-,-,-,"$126,373,434",3121,"$126,373,434",Feb 10,Universal Pictures,False
21,22,The Vow,-,-,-,"$125,014,030",3038,"$125,014,030",Feb 10,Screen Gems,False
22,23,Magic Mike,-,-,-,"$113,721,571",3120,"$113,721,571",Jun 29,Warner Bros.,False
23,24,The Bourne Legacy,-,-,-,"$113,203,870",3753,"$113,203,870",Aug 10,Universal Pictures,False
24,25,Argo,-,-,-,"$108,720,920",3247,"$136,025,503",Oct 12,Warner Bros.,False
25,26,Journey 2: The Mysterious Island,-,-,-,"$103,860,290",3500,"$103,860,290",Feb 10,Warner Bros.,False
26,27,Flight,-,-,-,"$91,978,551",2638,"$93,772,375",Nov 2,Paramount Pictures,False
27,28,Think Like a Man,-,-,-,"$91,547,205",2052,"$91,547,205",Apr 20,Screen Gems,False
28,29,Rise of the Guardians,-,-,-,"$91,337,659",3672,"$103,412,758",Nov 21,DreamWorks,False
29,30,Mission: Impossible - Ghost Protocol,-,-,-,"$87,050,578",3555,"$209,397,903",Dec 16,Paramount Pictures,False
30,31,The Campaign,-,-,-,"$86,907,746",3302,"$86,907,746",Aug 10,Warner Bros.,False
31,32,Life of Pi,-,-,-,"$85,639,816",2946,"$124,987,023",Nov 21,Twentieth Century Fox,False
32,33,The Expendables 2,-,-,-,"$85,028,192",3355,"$85,028,192",Aug 17,Lionsgate,False
33,34,Wrath of the Titans,-,-,-,"$83,670,083",3545,"$83,670,083",Mar 30,Warner Bros.,False
34,35,Dark Shadows,-,-,-,"$79,727,149",3755,"$79,727,149",May 11,Warner Bros.,False
35,36,John Carter,-,-,-,"$73,078,100",3749,"$73,078,100",Mar 9,Walt Disney Studios Motion Pictures,False
36,37,Les Misérables,-,-,-,"$72,967,240",2927,"$148,809,770",Dec 25,Universal Pictures,False
37,38,Act of Valor,-,-,-,"$70,012,847",3053,"$70,012,847",Feb 24,Relativity Media,False
38,39,Django Unchained,-,-,-,"$68,605,611",3012,"$162,805,434",Dec 25,The Weinstein Company,False
39,40,Contraband,-,-,-,"$66,528,000",2870,"$66,528,000",Jan 13,Universal Pictures,False
40,41,Looper,-,-,-,"$66,475,042",2993,"$66,486,205",Sep 28,TriStar Pictures,False
41,42,Madea's Witness Protection,-,-,-,"$65,653,242",2161,"$65,653,242",Jun 29,Lionsgate,False
42,43,Battleship,-,-,-,"$65,422,625",3702,"$65,422,625",May 18,Universal Pictures,False
43,44,Mirror Mirror,-,-,-,"$64,935,167",3618,"$64,935,167",Mar 30,Relativity Media,False
44,45,Chronicle,-,-,-,"$64,575,175",2908,"$64,575,175",Feb 3,Twentieth Century Fox,False
45,46,Pitch Perfect,-,-,-,"$64,427,368",2787,"$65,001,093",Sep 28,Universal Pictures,False
46,47,Hope Springs,-,-,-,"$63,536,011",2441,"$63,536,011",Aug 8,Sony Pictures Entertainment (SPE),False
47,48,Sherlock Holmes: A Game of Shadows,-,-,-,"$62,796,789",3703,"$186,848,418",Dec 16,Warner Bros.,False
48,49,Underworld: Awakening,-,-,-,"$62,321,039",3078,"$62,321,039",Jan 20,Screen Gems,False
49,50,The Lucky One,-,-,-,"$60,457,138",3175,"$60,457,138",Apr 20,Warner Bros.,False
50,51,The Dictator,-,-,-,"$59,650,222",3014,"$59,650,222",May 16,Paramount Pictures,False
51,52,Total Recall,-,-,-,"$58,877,969",3601,"$58,877,969",Aug 3,Sony Pictures Entertainment (SPE),False
52,53,Titanic2012 3D Release,-,-,-,"$57,884,114",3674,"$57,884,114",Apr 4,Paramount Pictures,False
53,54,American Reunion,-,-,-,"$57,011,521",3203,"$57,011,521",Apr 6,Universal Pictures,False
54,55,ParaNorman,-,-,-,"$55,995,988",3455,"$56,003,051",Aug 17,Focus Features,False
55,56,This Means War,-,-,-,"$54,760,791",3189,"$54,760,791",Feb 17,Twentieth Century Fox,False
56,57,Project X,-,-,-,"$54,731,865",3055,"$54,731,865",Mar 2,Warner Bros.,False
57,58,The Woman in Black,-,-,-,"$54,333,290",2856,"$54,333,290",Feb 3,CBS Films,False
58,59,Paranormal Activity 4,-,-,-,"$53,886,994",3412,"$53,885,000",Oct 19,Paramount Pictures,False
59,60,The Devil Inside,-,-,-,"$53,261,944",2551,"$53,261,944",Jan 6,Paramount Pictures,False
60,61,The Girl with the Dragon Tattoo,-,-,-,"$52,177,103",2950,"$102,515,793",Dec 21,Sony Pictures Entertainment (SPE),False
61,62,The Odd Life of Timothy Green,-,-,-,"$51,816,367",2717,"$51,854,875",Aug 15,Walt Disney Studios Motion Pictures,False
62,63,Ghost Rider: Spirit of Vengeance,-,-,-,"$51,774,002",3174,"$51,774,002",Feb 17,Sony Pictures Entertainment (SPE),False
63,64,The Grey,-,-,-,"$51,580,236",3208,"$51,580,236",Jan 27,Open Road Films (II),False
64,65,Red Tails,-,-,-,"$49,876,377",2573,"$49,876,377",Jan 20,Twentieth Century Fox,False
65,66,The Possession,-,-,-,"$49,130,154",2860,"$49,130,154",Aug 31,Lionsgate,False
66,67,Diary of a Wimpy Kid: Dog Days,-,-,-,"$49,008,662",3401,"$49,008,662",Aug 3,Twentieth Century Fox,False
67,68,Sinister,-,-,-,"$48,061,556",2542,"$48,086,903",Oct 12,Lionsgate,False
68,69,Beauty and the Beast2012 3D Release,-,-,-,"$47,617,067",2625,"$47,617,067",Jan 13,Walt Disney Studios Motion Pictures,False
69,70,Jack Reacher,-,-,-,"$47,550,642",3352,"$80,070,736",Dec 21,Paramount Pictures,False
70,71,Savages,-,-,-,"$47,382,068",2635,"$47,382,068",Jul 6,Universal Pictures,False
71,72,The Best Exotic Marigold Hotel,-,-,-,"$46,412,041",1298,"$46,412,041",May 4,-,False
72,73,Moonrise Kingdom,-,-,-,"$45,512,466",924,"$45,512,466",May 25,Focus Features,False
73,74,Alvin and the Chipmunks: Chipwrecked,-,-,-,"$44,959,546",3734,"$133,110,742",Dec 16,Twentieth Century Fox,False
74,75,The Three Stooges,-,-,-,"$44,338,224",3482,"$44,338,224",Apr 13,Twentieth Century Fox,False
75,76,The Descendants,-,-,-,"$44,209,129",2038,"$82,584,160",Nov 16,-,False
76,77,Here Comes the Boom,-,-,-,"$43,599,656",3014,"$45,290,318",Oct 12,Sony Pictures Entertainment (SPE),False
77,78,War Horse,-,-,-,"$43,532,682",2856,"$79,884,879",Dec 25,Walt Disney Studios Motion Pictures,False
78,79,Red Dawn,-,-,-,"$43,468,052",2781,"$44,806,783",Nov 21,FilmDistrict,False
79,80,Star Wars: Episode I - The Phantom Menace2012 3D Release,-,-,-,"$43,456,382",2655,"$43,456,382",Feb 10,Twentieth Century Fox,False
80,81,Resident Evil: Retribution,-,-,-,"$42,345,531",3016,"$42,345,531",Sep 14,Screen Gems,False
81,82,The Cabin in the Woods,-,-,-,"$42,073,277",2811,"$42,073,277",Apr 13,Lionsgate,False
82,83,What to Expect When You're Expecting,-,-,-,"$41,152,203",3021,"$41,152,203",May 18,Lionsgate,False
83,84,Finding Nemo2012 3D Release,-,-,-,"$41,040,308",2904,"$41,128,283",Sep 14,Walt Disney Studios Motion Pictures,False
84,85,End of Watch,-,-,-,"$40,766,734",2780,"$41,003,371",Sep 21,Open Road Films (II),False
85,86,The Artist,-,-,-,"$40,075,103",1756,"$44,671,682",Nov 25,The Weinstein Company,False
