,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Star Wars: Episode VIII - The Last Jedi,-,-,-,"$517,218,368",4232,"$620,181,382",Dec 15,Walt Disney Studios Motion Pictures,False
1,2,Beauty and the Beast,-,-,-,"$504,014,165",4210,"$504,014,165",Mar 17,Walt Disney Studios Motion Pictures,False
2,3,Wonder Woman,-,-,-,"$412,563,408",4165,"$412,563,408",Jun 2,Warner Bros.,False
3,4,Guardians of the Galaxy Vol. 2,-,-,-,"$389,813,101",4347,"$389,813,101",May 5,Walt Disney Studios Motion Pictures,False
4,5,Spider-Man: Homecoming,-,-,-,"$334,201,140",4348,"$334,201,140",Jul 7,Sony Pictures Entertainment (SPE),False
5,6,It,-,-,-,"$327,481,748",4148,"$327,481,748",Sep 8,Warner Bros.,False
6,7,Thor: Ragnarok,-,-,-,"$311,225,150",4080,"$315,058,289",Nov 3,Walt Disney Studios Motion Pictures,False
7,8,Despicable Me 3,-,-,-,"$264,624,300",4535,"$264,624,300",Jun 30,Universal Pictures,False
8,9,Logan,-,-,-,"$226,277,068",4071,"$226,277,068",Mar 3,Twentieth Century Fox,False
9,10,The Fate of the Furious,-,-,-,"$226,008,385",4329,"$226,008,385",Apr 14,Universal Pictures,False
10,11,Justice League,-,-,-,"$225,546,295",4051,"$229,024,295",Nov 17,Warner Bros.,False
11,12,Dunkirk,-,-,-,"$188,045,546",4014,"$188,045,546",Jul 21,Warner Bros.,False
12,13,Coco,-,-,-,"$179,834,199",3987,"$210,460,015",Nov 22,Walt Disney Studios Motion Pictures,False
13,14,The Lego Batman Movie,-,-,-,"$175,750,384",4088,"$175,750,384",Feb 10,Warner Bros.,False
14,15,Get Out,-,-,-,"$175,686,870",3143,"$176,040,665",Feb 24,Universal Pictures,False
15,16,The Boss Baby,-,-,-,"$175,003,033",3829,"$175,003,033",Mar 31,Twentieth Century Fox,False
16,17,Pirates of the Caribbean: Dead Men Tell No Tales,-,-,-,"$172,558,876",4276,"$172,558,876",May 26,Walt Disney Studios Motion Pictures,False
17,18,Jumanji: Welcome to the Jungle,-,-,-,"$170,863,915",3849,"$404,515,480",Dec 20,Sony Pictures Entertainment (SPE),False
18,19,Kong: Skull Island,-,-,-,"$168,052,812",3846,"$168,052,812",Mar 10,Warner Bros.,False
19,20,Hidden Figures,-,-,-,"$167,620,331",3416,"$169,607,287",Dec 25,Twentieth Century Fox,False
20,21,Cars 3,-,-,-,"$152,901,115",4256,"$152,901,115",Jun 16,Walt Disney Studios Motion Pictures,False
21,22,War for the Planet of the Apes,-,-,-,"$146,880,162",4100,"$146,880,162",Jul 14,Twentieth Century Fox,False
22,23,Split,-,-,-,"$138,291,365",3373,"$138,291,365",Jan 20,Universal Pictures,False
23,24,Transformers: The Last Knight,-,-,-,"$130,168,683",4132,"$130,168,683",Jun 21,Paramount Pictures,False
24,25,Rogue One: A Star Wars Story,-,-,-,"$123,941,474",4157,"$532,177,324",Dec 16,Walt Disney Studios Motion Pictures,False
25,26,Wonder,-,-,-,"$121,559,294",3519,"$132,422,809",Nov 17,Lionsgate,False
26,27,La La Land,-,-,-,"$120,121,532",3236,"$151,101,803",Dec 9,Lionsgate,False
27,28,Sing,-,-,-,"$117,541,430",4029,"$270,395,425",Dec 21,Universal Pictures,False
28,29,Girls Trip,-,-,-,"$115,171,585",2648,"$115,171,585",Jul 21,Universal Pictures,False
29,30,Fifty Shades Darker,-,-,-,"$114,581,250",3714,"$114,581,250",Feb 10,Universal Pictures,False
30,31,Baby Driver,-,-,-,"$107,825,862",3226,"$107,825,862",Jun 28,TriStar Pictures,False
31,32,Annabelle: Creation,-,-,-,"$102,092,201",3565,"$102,092,201",Aug 11,Warner Bros.,False
32,33,Daddy's Home 2,-,-,-,"$101,791,381",3575,"$104,029,443",Nov 10,Paramount Pictures,False
33,34,Murder on the Orient Express,-,-,-,"$100,619,624",3354,"$102,826,543",Nov 10,Twentieth Century Fox,False
34,35,Kingsman: The Golden Circle,-,-,-,"$100,225,686",4038,"$100,229,647",Sep 22,Twentieth Century Fox,False
35,36,John Wick: Chapter 2,-,-,-,"$92,029,184",3113,"$92,029,184",Feb 10,Lionsgate,False
36,37,Blade Runner 2049,-,-,-,"$91,654,512",4058,"$92,054,159",Oct 6,Warner Bros.,False
37,38,The Emoji Movie,-,-,-,"$86,089,513",4075,"$86,089,513",Jul 28,Sony Pictures Entertainment (SPE),False
38,39,Power Rangers,-,-,-,"$85,364,450",3693,"$85,364,450",Mar 24,Lionsgate,False
39,40,The Mummy,-,-,-,"$80,227,895",4035,"$80,227,895",Jun 9,Universal Pictures,False
40,41,The Hitman's Bodyguard,-,-,-,"$75,468,583",3377,"$75,468,583",Aug 18,Lionsgate,False
41,42,Alien: Covenant,-,-,-,"$74,262,031",3772,"$74,262,031",May 19,Twentieth Century Fox,False
42,43,Captain Underpants: The First Epic Movie,-,-,-,"$73,921,000",3529,"$73,921,000",Jun 2,Twentieth Century Fox,False
43,44,A Bad Moms Christmas,-,-,-,"$71,891,988",3615,"$72,110,659",Nov 1,STX Entertainment,False
44,45,A Dog's Purpose,-,-,-,"$64,508,620",3178,"$64,508,620",Jan 27,Universal Pictures,False
45,46,Pitch Perfect 3,-,-,-,"$63,300,605",3468,"$104,897,530",Dec 22,Universal Pictures,False
46,47,The Lego Ninjago Movie,-,-,-,"$59,281,555",4047,"$59,281,555",Sep 22,Warner Bros.,False
47,48,Baywatch,-,-,-,"$58,060,186",3647,"$58,060,186",May 25,Paramount Pictures,False
48,49,The Shack,-,-,-,"$57,386,418",2888,"$57,386,418",Mar 3,Lionsgate,False
49,50,Happy Death Day,-,-,-,"$55,683,845",3535,"$55,683,845",Oct 13,Universal Pictures,False
50,51,Ferdinand,-,-,-,"$53,546,717",3630,"$84,410,380",Dec 15,Twentieth Century Fox,False
51,52,Atomic Blonde,-,-,-,"$51,687,870",3326,"$51,687,870",Jul 28,Focus Features,False
52,53,American Made,-,-,-,"$51,342,000",3098,"$51,342,000",Sep 29,Universal Pictures,False
53,54,The Dark Tower,-,-,-,"$50,701,325",3451,"$50,701,325",Aug 4,Sony Pictures Entertainment (SPE),False
54,55,The Greatest Showman,-,-,-,"$49,036,718",3342,"$174,340,174",Dec 20,Twentieth Century Fox,False
55,56,Boo 2! A Madea Halloween,-,-,-,"$47,319,572",2388,"$47,319,572",Oct 20,Lionsgate,False
56,57,Lion,-,-,-,"$46,435,205",1802,"$51,738,905",Nov 25,The Weinstein Company,False
57,58,Snatched,-,-,-,"$45,852,178",3511,"$45,852,178",May 12,Twentieth Century Fox,False
58,59,The Great Wall,-,-,-,"$45,540,830",3328,"$45,540,830",Feb 17,Universal Pictures,False
59,60,Smurfs: The Lost Village,-,-,-,"$45,020,282",3610,"$45,020,282",Apr 7,Sony Pictures Entertainment (SPE),False
60,61,Going in Style,-,-,-,"$45,018,541",3076,"$45,018,541",Apr 7,Warner Bros.,False
61,62,All Eyez on Me,-,-,-,"$44,922,302",2471,"$44,922,302",Jun 16,Lionsgate,False
62,63,xXx: Return of Xander Cage,-,-,-,"$44,898,413",3651,"$44,898,413",Jan 20,Paramount Pictures,False
63,64,Passengers,-,-,-,"$44,634,490",3478,"$100,014,699",Dec 21,Sony Pictures Entertainment (SPE),False
64,65,47 Meters Down,-,-,-,"$44,307,191",2471,"$44,307,191",Jun 16,Entertainment Studios Motion Pictures,False
65,66,The Big Sick,-,-,-,"$42,873,127",2597,"$42,873,127",Jun 23,Lionsgate,False
66,67,Moana,-,-,-,"$42,279,566",3875,"$248,757,044",Nov 23,Walt Disney Studios Motion Pictures,False
67,68,Ghost in the Shell,-,-,-,"$40,563,557",3440,"$40,563,557",Mar 31,Paramount Pictures,False
68,69,Valerian and the City of a Thousand Planets,-,-,-,"$40,479,370",3553,"$41,189,488",Jul 21,STX Entertainment,False
69,70,The Star,-,-,-,"$39,963,949",2976,"$40,852,824",Nov 17,Sony Pictures Entertainment (SPE),False
70,71,King Arthur: Legend of the Sword,-,-,-,"$39,175,066",3702,"$39,175,066",May 12,Warner Bros.,False
71,72,Jigsaw,-,-,-,"$38,052,832",2941,"$38,052,832",Oct 27,Lionsgate,False
72,73,American Assassin,-,-,-,"$36,249,674",3154,"$36,249,674",Sep 15,Lionsgate,False
73,74,The Foreigner,-,-,-,"$34,393,507",2515,"$34,393,507",Oct 13,STX Entertainment,False
74,75,"Everything, Everything",-,-,-,"$34,121,140",2801,"$34,121,140",May 19,Warner Bros.,False
75,76,Wind River,-,-,-,"$33,800,859",2890,"$33,800,859",Aug 4,The Weinstein Company,False
76,77,Geostorm,-,-,-,"$33,578,782",3246,"$33,700,160",Oct 20,Warner Bros.,False
77,78,Monster Trucks,-,-,-,"$33,370,166",3119,"$33,370,166",Jan 13,Paramount Pictures,False
78,79,Fist Fight,-,-,-,"$32,187,017",3185,"$32,187,017",Feb 17,Warner Bros.,False
79,80,How to Be a Latin Lover,-,-,-,"$32,149,404",1203,"$32,149,404",Apr 28,Pantelion Films,False
80,81,Lady Bird,-,-,-,"$31,432,462",1557,"$48,958,273",Nov 3,A24,False
81,82,Fences,-,-,-,"$31,351,933",2368,"$57,682,904",Dec 16,Paramount Pictures,False
82,83,Patriots Day,-,-,-,"$31,319,806",3120,"$31,886,361",Dec 21,Lionsgate,False
83,84,Kidnap,-,-,-,"$30,971,040",2418,"$30,971,040",Aug 4,Aviron Pictures,False
84,85,Underworld: Blood Wars,-,-,-,"$30,353,973",3070,"$30,353,973",Jan 6,Screen Gems,False
85,86,The Mountain Between Us,-,-,-,"$30,348,555",3259,"$30,348,555",Oct 6,Twentieth Century Fox,False
86,87,Life,-,-,-,"$30,234,022",3146,"$30,234,022",Mar 24,Sony Pictures Entertainment (SPE),False
87,88,Why Him?,-,-,-,"$29,689,870",3008,"$60,323,786",Dec 23,Twentieth Century Fox,False
88,89,The Nut Job 2: Nutty by Nature,-,-,-,"$28,370,522",4003,"$28,370,522",Aug 11,Open Road Films (II),False
89,90,Rings,-,-,-,"$27,793,018",2931,"$27,793,018",Feb 3,Paramount Pictures,False
90,91,Logan Lucky,-,-,-,"$27,780,977",3031,"$27,780,977",Aug 18,Bleecker Street Media,False
91,92,Home Again,-,-,-,"$27,020,284",3036,"$27,020,284",Sep 8,Open Road Films (II),False
92,93,Resident Evil: The Final Chapter,-,-,-,"$26,830,068",3104,"$26,830,068",Jan 27,Screen Gems,False
93,94,The House,-,-,-,"$25,584,504",3134,"$25,584,504",Jun 30,Warner Bros.,False
