,Rank,Title,Lifetime Gross,Year
118,119,Sing,"$270,578,425",2016
119,120,Monsters University,"$268,492,764",2013
120,121,Shrek,"$268,163,011",2001
121,122,Jaws,"$265,859,065",1975
122,123,Despicable Me 3,"$264,624,300",2017
123,124,Harry Potter and the Chamber of Secrets,"$262,641,637",2002
124,125,The Amazing Spider-Man,"$262,030,663",2012
125,126,The Incredibles,"$261,441,092",2004
126,127,How the Grinch Stole Christmas,"$260,715,005",2000
127,128,Captain America: The Winter Soldier,"$259,766,572",2014
128,129,The Hobbit: The Desolation of Smaug,"$258,387,334",2013
129,130,The Lego Movie,"$257,966,122",2014
130,131,Star Trek,"$257,730,019",2009
131,132,I Am Legend,"$256,393,010",2007
132,133,The Blind Side,"$255,982,860",2009
133,134,The Hobbit: The Battle of the Five Armies,"$255,138,261",2014
134,135,The Hangover Part II,"$254,464,305",2011
135,136,Despicable Me,"$251,557,985",2010
136,137,Batman,"$251,409,241",1989
137,138,Night at the Museum,"$250,863,268",2006
138,139,Men in Black,"$250,690,539",1997
139,140,Harry Potter and the Prisoner of Azkaban,"$250,105,651",2004
140,141,Moana,"$248,757,044",2016
141,142,Indiana Jones and the Raiders of the Lost Ark,"$248,159,971",1981
142,143,Toy Story 2,"$245,852,179",1999
143,144,Transformers: Age of Extinction,"$245,439,076",2014
144,145,Cars,"$244,082,982",2006
145,146,Ghostbusters,"$243,578,797",1984
146,147,Bruce Almighty,"$242,829,261",2003
147,148,Twister,"$241,830,615",1996
148,149,My Big Fat Greek Wedding,"$241,438,208",2002
149,150,Maleficent,"$241,410,378",2014
150,151,Pirates of the Caribbean: On Stranger Tides,"$241,071,802",2011
151,152,Shrek Forever After,"$238,736,787",2010
152,153,Fast & Furious 6,"$238,679,850",2013
153,154,Brave,"$237,283,207",2012
154,155,Oz the Great and Powerful,"$234,911,825",2013
155,156,Beverly Hills Cop,"$234,760,478",1984
156,157,X-Men: The Last Stand,"$234,362,462",2006
157,158,War of the Worlds,"$234,280,354",2005
158,159,Fantastic Beasts and Where to Find Them,"$234,037,575",2016
159,160,X-Men: Days of Future Past,"$233,921,534",2014
160,161,Cast Away,"$233,632,142",2000
161,162,The Exorcist,"$233,005,644",1973
162,163,Doctor Strange,"$232,641,920",2016
163,164,The Lost World: Jurassic Park,"$229,086,679",1997
164,165,Justice League,"$229,024,295",2017
165,166,Star Trek Into Darkness,"$228,778,661",2013
166,167,The Martian,"$228,433,663",2015
167,168,Signs,"$227,966,634",2002
168,169,Hancock,"$227,946,274",2008
169,170,The Bourne Ultimatum,"$227,471,070",2007
170,171,Logan,"$226,277,068",2017
