,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Shrek 2,-,-,-,"$441,226,247",4223,"$441,226,247",May 19,DreamWorks Distribution,False
1,2,Spider-Man 2,-,-,-,"$373,585,825",4166,"$373,585,825",Jun 30,Sony Pictures Entertainment (SPE),False
2,3,The Passion of the Christ,-,-,-,"$370,274,604",3408,"$370,274,604",Feb 25,Newmarket Films,False
3,4,Harry Potter and the Prisoner of Azkaban,-,-,-,"$249,541,069",3855,"$249,541,069",Jun 4,Warner Bros.,False
4,5,The Incredibles,-,-,-,"$248,939,765",3933,"$261,441,092",Nov 5,Walt Disney Studios Motion Pictures,False
5,6,The Day After Tomorrow,-,-,-,"$186,740,799",3444,"$186,740,799",May 28,Twentieth Century Fox,False
6,7,The Bourne Supremacy,-,-,-,"$176,241,941",3304,"$176,241,941",Jul 23,Universal Pictures,False
7,8,Shark Tale,-,-,-,"$160,531,869",4070,"$160,861,908",Oct 1,DreamWorks Distribution,False
8,9,The Polar Express,-,-,-,"$151,621,905",3650,"$162,775,358",Nov 10,Warner Bros.,False
9,10,National Treasure,-,-,-,"$150,121,985",3243,"$173,008,894",Nov 19,Walt Disney Studios Motion Pictures,False
10,11,"I, Robot",-,-,-,"$144,801,023",3494,"$144,801,023",Jul 16,Twentieth Century Fox,False
11,12,Troy,-,-,-,"$133,378,256",3411,"$133,378,256",May 14,Warner Bros.,False
12,13,Meet the Fockers,-,-,-,"$132,859,765",3554,"$279,261,160",Dec 22,Universal Pictures,False
13,14,The Lord of the Rings: The Return of the King,-,-,-,"$127,581,398",3703,"$377,027,325",Dec 17,New Line Cinema,False
14,15,50 First Dates,-,-,-,"$120,908,074",3612,"$120,908,074",Feb 13,Sony Pictures Entertainment (SPE),False
15,16,Van Helsing,-,-,-,"$120,177,084",3580,"$120,177,084",May 7,Universal Pictures,False
16,17,Fahrenheit 9/11,-,-,-,"$119,200,156",2011,"$119,194,771",Jun 23,Lionsgate,False
17,18,Dodgeball: A True Underdog Story,-,-,-,"$114,326,736",3020,"$114,326,736",Jun 18,Twentieth Century Fox,False
18,19,The Village,-,-,-,"$114,197,520",3733,"$114,197,520",Jul 30,Walt Disney Studios Motion Pictures,False
19,20,The Grudge,-,-,-,"$110,359,362",3348,"$110,359,362",Oct 22,Sony Pictures Entertainment (SPE),False
20,21,Collateral,-,-,-,"$101,005,703",3205,"$101,005,703",Aug 6,DreamWorks Distribution,False
21,22,Ocean's Twelve,-,-,-,"$100,416,657",3290,"$125,544,280",Dec 10,Warner Bros.,False
22,23,The Princess Diaries 2: Royal Engagement,-,-,-,"$95,170,481",3490,"$95,170,481",Aug 11,Walt Disney Studios Motion Pictures,False
23,24,Starsky & Hutch,-,-,-,"$88,237,754",3185,"$88,237,754",Mar 5,Warner Bros.,False
24,25,Along Came Polly,-,-,-,"$88,097,164",3052,"$88,097,164",Jan 16,Universal Pictures,False
25,26,Mean Girls,-,-,-,"$86,058,055",3054,"$86,058,055",Apr 30,Paramount Pictures,False
26,27,Anchorman: The Legend of Ron Burgundy,-,-,-,"$85,288,303",3104,"$85,288,303",Jul 9,DreamWorks Distribution,False
27,28,A Series of Unfortunate Events,-,-,-,"$84,757,072",3623,"$118,634,549",Dec 17,Paramount Pictures,False
28,29,Scooby-Doo 2: Monsters Unleashed,-,-,-,"$84,216,833",3312,"$84,216,833",Mar 26,Warner Bros.,False
29,30,Cheaper by the Dozen,-,-,-,"$82,995,800",3307,"$138,614,544",Dec 25,Twentieth Century Fox,False
30,31,The SpongeBob SquarePants Movie,-,-,-,"$81,106,338",3307,"$85,417,988",Nov 19,Paramount Pictures,False
31,32,The Notebook,-,-,-,"$81,001,255",2323,"$81,001,787",Jun 25,New Line Cinema,False
32,33,Alien vs. Predator,-,-,-,"$80,282,231",3401,"$80,282,231",Aug 13,Twentieth Century Fox,False
33,34,Man on Fire,-,-,-,"$77,911,774",2986,"$77,911,774",Apr 21,Twentieth Century Fox,False
34,35,The Terminal,-,-,-,"$77,872,883",2914,"$77,872,883",Jun 18,DreamWorks Distribution,False
35,36,Garfield,-,-,-,"$75,369,589",3150,"$75,369,589",Jun 11,Twentieth Century Fox,False
36,37,Ladder 49,-,-,-,"$73,740,094",3261,"$74,541,707",Oct 1,Walt Disney Studios Motion Pictures,False
37,38,Christmas with the Kranks,-,-,-,"$72,095,903",3416,"$73,780,539",Nov 24,Revolution Studios,False
38,39,Ray,-,-,-,"$71,278,355",2474,"$75,331,600",Oct 29,Universal Pictures,False
39,40,White Chicks,-,-,-,"$70,831,760",2800,"$70,831,760",Jun 23,Sony Pictures Entertainment (SPE),False
40,41,Cold Mountain,-,-,-,"$67,581,356",2802,"$95,636,509",Dec 25,Miramax,False
41,42,Hidalgo,-,-,-,"$67,303,450",3065,"$67,303,450",Mar 5,Walt Disney Studios Motion Pictures,False
42,43,The Forgotten,-,-,-,"$67,133,509",3144,"$67,133,509",Sep 24,Revolution Studios,False
43,44,Kill Bill: Vol. 2,-,-,-,"$66,211,165",3073,"$66,208,183",Apr 16,Miramax,False
44,45,The Manchurian Candidate,-,-,-,"$65,955,630",2867,"$65,955,630",Jul 30,Paramount Pictures,False
45,46,Barbershop 2: Back in Business,-,-,-,"$65,111,277",2711,"$65,111,277",Feb 6,Metro-Goldwyn-Mayer (MGM),False
46,47,Miracle,-,-,-,"$64,378,093",2755,"$64,378,093",Feb 6,Walt Disney Studios Motion Pictures,False
