,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Finding Nemo,-,-,-,"$339,714,184",3425,"$339,714,978",May 30,Walt Disney Studios Motion Pictures,False
1,2,Pirates of the Caribbean: The Curse of the Black Pearl,-,-,-,"$305,398,779",3416,"$305,413,918",Jul 9,Walt Disney Studios Motion Pictures,False
2,3,The Matrix Reloaded,-,-,-,"$281,576,461",3603,"$281,576,461",May 15,Warner Bros.,False
3,4,The Lord of the Rings: The Return of the King,-,-,-,"$249,445,927",3703,"$377,027,325",Dec 17,New Line Cinema,False
4,5,Bruce Almighty,-,-,-,"$242,829,261",3549,"$242,829,261",May 23,Universal Pictures,False
5,6,X2: X-Men United,-,-,-,"$214,949,694",3749,"$214,949,694",May 2,Twentieth Century Fox,False
6,7,Elf,-,-,-,"$167,547,000",3381,"$173,398,518",Nov 7,New Line Cinema,False
7,8,Chicago,-,-,-,"$167,511,932",2701,"$170,687,518",Dec 27,Miramax,False
8,9,Terminator 3: Rise of the Machines,-,-,-,"$150,371,112",3504,"$150,371,112",Jul 2,Warner Bros.,False
9,10,Bad Boys II,-,-,-,"$138,608,444",3202,"$138,608,444",Jul 18,Sony Pictures Entertainment (SPE),False
10,11,The Matrix Revolutions,-,-,-,"$138,041,173",3502,"$139,313,948",Nov 5,Warner Bros.,False
11,12,Anger Management,-,-,-,"$135,645,823",3656,"$135,645,823",Apr 11,Revolution Studios,False
12,13,Bringing Down the House,-,-,-,"$132,716,848",2910,"$132,716,677",Mar 7,Walt Disney Studios Motion Pictures,False
13,14,Hulk,-,-,-,"$132,177,234",3674,"$132,177,234",Jun 20,Universal Pictures,False
14,15,2 Fast 2 Furious,-,-,-,"$127,154,901",3418,"$127,154,901",Jun 6,Universal Pictures,False
15,16,The Lord of the Rings: The Two Towers,-,-,-,"$121,193,976",3622,"$339,789,881",Dec 18,New Line Cinema,False
16,17,Seabiscuit,-,-,-,"$120,231,534",2573,"$120,277,854",Jul 25,Universal Pictures,False
17,18,S.W.A.T.,-,-,-,"$116,934,650",3220,"$116,934,650",Aug 8,Sony Pictures Entertainment (SPE),False
18,19,Spy Kids 3: Game Over,-,-,-,"$111,637,760",3388,"$111,761,982",Jul 25,Dimension Films,False
19,20,Freaky Friday,-,-,-,"$110,100,826",3067,"$110,230,332",Aug 6,Walt Disney Studios Motion Pictures,False
20,21,Scary Movie 3,-,-,-,"$109,362,202",3505,"$110,003,217",Oct 24,Dimension Films,False
21,22,The Italian Job,-,-,-,"$106,128,601",2877,"$106,128,601",May 30,Paramount Pictures,False
22,23,How to Lose a Guy in 10 Days,-,-,-,"$105,813,373",2923,"$105,813,373",Feb 7,Paramount Pictures,False
23,24,American Wedding,-,-,-,"$104,565,114",3175,"$104,565,114",Aug 1,Universal Pictures,False
24,25,Daddy Day Care,-,-,-,"$104,297,061",3472,"$104,297,061",May 9,Revolution Studios,False
25,26,Daredevil,-,-,-,"$102,543,518",3474,"$102,543,518",Feb 14,Twentieth Century Fox,False
26,27,Catch Me If You Can,-,-,-,"$102,042,590",3225,"$164,615,351",Dec 25,DreamWorks Distribution,False
27,28,Charlie's Angels: Full Throttle,-,-,-,"$100,830,111",3485,"$100,830,111",Jun 27,Sony Pictures Entertainment (SPE),False
28,29,The Cat in the Hat,-,-,-,"$98,050,995",3467,"$101,149,285",Nov 21,Universal Pictures,False
29,30,"Legally Blonde 2: Red, White & Blonde",-,-,-,"$90,186,328",3375,"$90,186,328",Jul 2,Metro-Goldwyn-Mayer (MGM),False
30,31,Freddy vs. Jason,-,-,-,"$82,618,358",3014,"$82,622,655",Aug 15,New Line Cinema,False
31,32,Brother Bear,-,-,-,"$82,580,265",3030,"$85,336,277",Oct 24,Walt Disney Studios Motion Pictures,False
32,33,Master and Commander: The Far Side of the World,-,-,-,"$81,531,748",3101,"$93,927,920",Nov 14,Twentieth Century Fox,False
33,34,The Texas Chainsaw Massacre,-,-,-,"$80,235,942",3018,"$80,571,655",Oct 17,New Line Cinema,False
34,35,School of Rock,-,-,-,"$79,870,600",2951,"$81,261,177",Oct 3,Paramount Pictures,False
35,36,The Last Samurai,-,-,-,"$79,722,506",2938,"$111,127,263",Dec 5,Warner Bros.,False
36,37,Old School,-,-,-,"$75,585,093",2742,"$75,585,093",Feb 21,DreamWorks Distribution,False
37,38,Kill Bill: Vol. 1,-,-,-,"$69,709,607",3102,"$70,099,045",Oct 10,Miramax,False
38,39,Holes,-,-,-,"$67,406,573",2452,"$67,406,573",Apr 18,Walt Disney Studios Motion Pictures,False
39,40,The Haunted Mansion,-,-,-,"$67,016,288",3122,"$75,847,266",Nov 26,Walt Disney Studios Motion Pictures,False
40,41,Kangaroo Jack,-,-,-,"$66,934,963",2848,"$66,934,963",Jan 17,Warner Bros.,False
41,42,The League of Extraordinary Gentlemen,-,-,-,"$66,465,204",3002,"$66,465,204",Jul 11,Twentieth Century Fox,False
42,43,Lara Croft Tomb Raider: The Cradle of Life,-,-,-,"$65,660,196",3222,"$65,660,196",Jul 25,Paramount Pictures,False
43,44,Something's Gotta Give,-,-,-,"$65,230,765",2876,"$124,728,738",Dec 12,Sony Pictures Entertainment (SPE),False
44,45,About Schmidt,-,-,-,"$61,997,645",1240,"$65,016,287",Dec 13,New Line Cinema,False
45,46,Shanghai Knights,-,-,-,"$60,476,906",2755,"$60,476,872",Feb 7,Walt Disney Studios Motion Pictures,False
46,47,Open Range,-,-,-,"$58,331,254",2268,"$58,331,254",Aug 15,Walt Disney Studios Motion Pictures,False
47,48,Gothika,-,-,-,"$57,711,948",2382,"$59,694,580",Nov 21,Warner Bros.,False
48,49,Love Actually,-,-,-,"$56,446,240",1714,"$59,696,144",Nov 7,Universal Pictures,False
49,50,Once Upon a Time in Mexico,-,-,-,"$56,359,780",3289,"$56,359,780",Sep 12,Sony Pictures Entertainment (SPE),False
50,51,Just Married,-,-,-,"$56,127,162",2769,"$56,127,162",Jan 10,Twentieth Century Fox,False
51,52,Cheaper by the Dozen,-,-,-,"$55,618,744",3307,"$138,614,544",Dec 25,Twentieth Century Fox,False
52,53,Mystic River,-,-,-,"$53,765,605",1581,"$90,135,191",Oct 8,Warner Bros.,False
53,54,Bad Santa,-,-,-,"$52,849,000",2540,"$60,060,328",Nov 26,Dimension Films,False
54,55,The Recruit,-,-,-,"$52,802,070",2376,"$52,802,140",Jan 31,Walt Disney Studios Motion Pictures,False
55,56,Identity,-,-,-,"$52,180,374",2733,"$52,159,536",Apr 25,Sony Pictures Entertainment (SPE),False
56,57,Underworld,-,-,-,"$51,791,168",2928,"$51,970,690",Sep 19,Screen Gems,False
57,58,Radio,-,-,-,"$51,422,388",3074,"$52,333,738",Oct 24,Revolution Studios,False
58,59,Runaway Jury,-,-,-,"$48,931,905",2815,"$49,443,628",Oct 17,Twentieth Century Fox,False
59,60,Agent Cody Banks,-,-,-,"$47,938,330",3369,"$47,938,330",Mar 14,Metro-Goldwyn-Mayer (MGM),False
60,61,The Jungle Book 2,-,-,-,"$47,906,341",2815,"$47,901,582",Feb 14,Walt Disney Studios Motion Pictures,False
61,62,The Rundown,-,-,-,"$47,726,342",3154,"$47,726,342",Sep 26,Universal Pictures,False
62,63,Final Destination 2,-,-,-,"$46,977,989",2834,"$46,961,214",Jan 31,New Line Cinema,False
63,64,Phone Booth,-,-,-,"$46,566,212",2489,"$46,566,212",Apr 4,Twentieth Century Fox,False
64,65,28 Days Later,-,-,-,"$45,064,915",1407,"$45,064,915",Jun 27,-,False
65,66,Tears of the Sun,-,-,-,"$43,734,892",2973,"$43,734,876",Mar 7,Revolution Studios,False
66,67,Gangs of New York,-,-,-,"$43,461,051",2340,"$77,812,000",Dec 20,Miramax,False
67,68,Under the Tuscan Sun,-,-,-,"$43,180,328",1701,"$43,610,723",Sep 26,Walt Disney Studios Motion Pictures,False
68,69,Two Weeks Notice,-,-,-,"$43,153,532",2755,"$93,354,851",Dec 20,Warner Bros.,False
69,70,The Lizzie McGuire Movie,-,-,-,"$42,734,455",2825,"$42,734,455",May 2,Walt Disney Studios Motion Pictures,False
70,71,Secondhand Lions,-,-,-,"$42,071,531",3038,"$42,070,939",Sep 19,New Line Cinema,False
71,72,The Hours,-,-,-,"$41,168,679",1010,"$41,675,994",Dec 27,Paramount Pictures,False
72,73,Out of Time,-,-,-,"$41,052,503",3076,"$41,088,845",Oct 3,Metro-Goldwyn-Mayer (MGM),False
73,74,Rugrats Go Wild,-,-,-,"$39,402,572",3041,"$39,402,572",Jun 13,Paramount Pictures,False
74,75,Mona Lisa Smile,-,-,-,"$38,594,145",2714,"$63,860,942",Dec 19,Revolution Studios,False
75,76,Head of State,-,-,-,"$38,125,247",2256,"$38,125,247",Mar 28,DreamWorks Distribution,False
76,77,Good Boy,-,-,-,"$37,650,360",3225,"$37,667,746",Oct 10,Metro-Goldwyn-Mayer (MGM),False
