,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,How the Grinch Stole Christmas,-,-,-,"$251,628,705",3256,"$260,044,825",Nov 17,Universal Pictures,False
1,2,Mission: Impossible II,-,-,-,"$215,409,889",3669,"$215,409,889",May 24,Paramount Pictures,False
2,3,Gladiator,-,-,-,"$186,610,052",3188,"$187,705,427",May 5,DreamWorks Distribution,False
3,4,The Perfect Storm,-,-,-,"$182,618,434",3407,"$182,618,434",Jun 30,Warner Bros.,False
4,5,Meet the Parents,-,-,-,"$161,146,255",2697,"$166,244,045",Oct 6,Universal Pictures,False
5,6,X-Men,-,-,-,"$157,299,718",3112,"$157,299,718",Jul 14,Twentieth Century Fox,False
6,7,Scary Movie,-,-,-,"$157,019,771",3301,"$157,019,771",Jul 7,Miramax,False
7,8,What Lies Beneath,-,-,-,"$155,359,812",2925,"$155,464,351",Jul 21,DreamWorks Distribution,False
8,9,Dinosaur,-,-,-,"$137,748,063",3319,"$137,748,063",May 19,Walt Disney Studios Motion Pictures,False
9,10,Erin Brockovich,-,-,-,"$125,595,205",3070,"$125,595,205",Mar 17,Universal Pictures,False
10,11,Nutty Professor II: The Klumps,-,-,-,"$123,305,415",3251,"$123,309,890",Jul 28,Universal Pictures,False
11,12,Charlie's Angels,-,-,-,"$122,693,797",3037,"$125,305,545",Nov 3,Sony Pictures Entertainment (SPE),False
12,13,Big Momma's House,-,-,-,"$117,559,438",2854,"$117,559,438",Jun 2,Twentieth Century Fox,False
13,14,Remember the Titans,-,-,-,"$113,546,621",2803,"$115,654,751",Sep 29,Walt Disney Studios Motion Pictures,False
14,15,The Patriot,-,-,-,"$113,330,342",3061,"$113,330,342",Jun 28,Sony Pictures Entertainment (SPE),False
15,16,What Women Want,-,-,-,"$110,187,917",3092,"$182,811,707",Dec 15,Paramount Pictures,False
16,17,Chicken Run,-,-,-,"$106,834,564",2953,"$106,834,564",Jun 23,DreamWorks Distribution,False
17,18,Gone in 60 Seconds,-,-,-,"$101,648,571",3089,"$101,648,571",Jun 9,Walt Disney Studios Motion Pictures,False
18,19,Cast Away,-,-,-,"$100,628,725",3061,"$233,632,142",Dec 22,Twentieth Century Fox,False
19,20,"Me, Myself & Irene",-,-,-,"$90,570,999",3087,"$90,570,999",Jun 23,Twentieth Century Fox,False
20,21,Space Cowboys,-,-,-,"$90,107,204",2835,"$90,464,773",Aug 4,Warner Bros.,False
21,22,Scream 3,-,-,-,"$89,143,175",3467,"$89,143,175",Feb 4,Dimension Films,False
22,23,Unbreakable,-,-,-,"$88,304,876",2708,"$95,011,339",Nov 22,Walt Disney Studios Motion Pictures,False
23,24,U-571,-,-,-,"$77,122,415",2820,"$77,122,415",Apr 21,Universal Pictures,False
24,25,Hollow Man,-,-,-,"$73,209,340",2956,"$73,209,340",Aug 4,Sony Pictures Entertainment (SPE),False
25,26,Stuart Little,-,-,-,"$72,701,240",3151,"$140,035,367",Dec 17,Sony Pictures Entertainment (SPE),False
26,27,Shaft,-,-,-,"$70,334,258",2433,"$70,334,258",Jun 16,Paramount Pictures,False
27,28,The Green Mile,-,-,-,"$69,839,360",2875,"$136,801,374",Dec 10,Warner Bros.,False
28,29,The Kid,-,-,-,"$69,691,949",2343,"$69,691,949",Jul 7,Walt Disney Studios Motion Pictures,False
29,30,Rugrats in Paris,-,-,-,"$68,941,692",2937,"$76,507,756",Nov 17,Paramount Pictures,False
30,31,Road Trip,-,-,-,"$68,540,777",2654,"$68,540,777",May 19,DreamWorks Distribution,False
31,32,Bring It On,-,-,-,"$68,337,590",2466,"$68,379,000",Aug 25,Universal Pictures,False
32,33,Rules of Engagement,-,-,-,"$61,335,230",3220,"$61,335,230",Apr 7,Paramount Pictures,False
33,34,The Cell,-,-,-,"$61,334,059",2476,"$61,334,059",Aug 18,New Line Cinema,False
34,35,Mission to Mars,-,-,-,"$60,883,407",3101,"$60,883,407",Mar 10,Walt Disney Studios Motion Pictures,False
35,36,Coyote Ugly,-,-,-,"$60,786,269",2664,"$60,786,269",Aug 4,Walt Disney Studios Motion Pictures,False
36,37,Snow Day,-,-,-,"$60,020,107",2717,"$60,020,107",Feb 11,Paramount Pictures,False
37,38,Fantasia 2000,-,-,-,"$59,809,390",1313,"$60,655,420",Jan 1,Walt Disney Studios Motion Pictures,False
38,39,American Beauty,-,-,-,"$59,267,786",1990,"$130,096,601",Sep 15,DreamWorks Distribution,False
39,40,Next Friday,-,-,-,"$57,328,603",1420,"$57,328,603",Jan 12,New Line Cinema,False
40,41,The Whole Nine Yards,-,-,-,"$57,262,492",2910,"$57,262,492",Feb 18,Warner Bros.,False
41,42,Shanghai Noon,-,-,-,"$56,937,502",2751,"$56,937,502",May 26,Walt Disney Studios Motion Pictures,False
42,43,Romeo Must Die,-,-,-,"$55,973,336",2641,"$55,973,336",Mar 22,Warner Bros.,False
43,44,102 Dalmatians,-,-,-,"$55,552,178",2704,"$66,957,026",Nov 22,Walt Disney Studios Motion Pictures,False
44,45,The Cider House Rules,-,-,-,"$54,535,422",1738,"$57,545,092",Dec 10,Miramax,False
45,46,Final Destination,-,-,-,"$53,331,147",2587,"$53,331,147",Mar 17,New Line Cinema,False
46,47,The Talented Mr. Ripley,-,-,-,"$51,726,616",2369,"$81,298,265",Dec 25,Paramount Pictures,False
47,48,Galaxy Quest,-,-,-,"$51,665,118",2450,"$71,583,916",Dec 25,DreamWorks Distribution,False
48,49,The Road to El Dorado,-,-,-,"$50,863,742",3223,"$50,863,742",Mar 31,DreamWorks Distribution,False
49,50,The Hurricane,-,-,-,"$50,336,689",2148,"$50,699,241",Dec 29,Universal Pictures,False
50,51,Vertical Limit,-,-,-,"$49,834,850",2602,"$69,243,859",Dec 8,Sony Pictures Entertainment (SPE),False
51,52,Men of Honor,-,-,-,"$47,357,207",2188,"$48,818,921",Nov 10,Twentieth Century Fox,False
52,53,Toy Story 2,-,-,-,"$46,009,125",3257,"$245,852,179",Nov 19,Walt Disney Studios Motion Pictures,False
