,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Transformers: Revenge of the Fallen,-,-,-,"$402,111,870",4293,"$402,111,870",Jun 24,DreamWorks,False
1,2,Harry Potter and the Half-Blood Prince,-,-,-,"$301,959,197",4455,"$301,959,197",Jul 15,Warner Bros.,False
2,3,Up,-,-,-,"$293,004,164",3886,"$293,004,164",May 29,Walt Disney Studios Motion Pictures,False
3,4,The Twilight Saga: New Moon,-,-,-,"$284,512,392",4124,"$296,623,634",Nov 20,Summit Entertainment,False
4,5,Avatar,-,-,-,"$283,624,210",3461,"$749,766,139",Dec 18,Twentieth Century Fox,False
5,6,The Hangover,-,-,-,"$277,322,503",3545,"$277,322,503",Jun 5,Warner Bros.,False
6,7,Star Trek,-,-,-,"$257,730,019",4053,"$257,730,019",May 8,Paramount Pictures,False
7,8,Monsters vs. Aliens,-,-,-,"$198,351,526",4136,"$198,351,526",Mar 27,DreamWorks,False
8,9,Ice Age: Dawn of the Dinosaurs,-,-,-,"$196,573,705",4102,"$196,573,705",Jul 1,Twentieth Century Fox,False
9,10,The Blind Side,-,-,-,"$196,563,318",3407,"$255,959,475",Nov 20,Warner Bros.,False
10,11,X-Men Origins: Wolverine,-,-,-,"$179,883,157",4102,"$179,883,157",May 1,Twentieth Century Fox,False
11,12,Night at the Museum: Battle of the Smithsonian,-,-,-,"$177,243,721",4101,"$177,243,721",May 22,Twentieth Century Fox,False
12,13,The Proposal,-,-,-,"$163,958,031",3158,"$163,958,031",Jun 19,Walt Disney Studios Motion Pictures,False
13,14,2012,-,-,-,"$162,349,001",3444,"$166,112,167",Nov 13,Sony Pictures Entertainment (SPE),False
14,15,Fast & Furious,-,-,-,"$155,064,265",3674,"$155,064,265",Apr 3,Universal Pictures,False
15,16,G.I. Joe: The Rise of Cobra,-,-,-,"$150,201,498",4007,"$150,201,498",Aug 7,Paramount Pictures,False
16,17,Paul Blart: Mall Cop,-,-,-,"$146,336,178",3206,"$146,336,178",Jan 16,Sony Pictures Entertainment (SPE),False
17,18,Taken,-,-,-,"$145,000,989",3184,"$145,000,989",Jan 30,Twentieth Century Fox,False
18,19,Gran Torino,-,-,-,"$142,214,209",3045,"$148,095,302",Dec 12,Warner Bros.,False
19,20,A Christmas Carol,-,-,-,"$136,889,051",3683,"$137,855,863",Nov 6,Walt Disney Studios Motion Pictures,False
20,21,Angels & Demons,-,-,-,"$133,375,846",3527,"$133,375,846",May 15,Sony Pictures Entertainment (SPE),False
21,22,Terminator Salvation,-,-,-,"$125,322,469",3602,"$125,322,469",May 21,Warner Bros.,False
22,23,Cloudy with a Chance of Meatballs,-,-,-,"$123,910,697",3119,"$124,870,275",Sep 18,Sony Pictures Entertainment (SPE),False
23,24,Alvin and the Chipmunks: The Squeakquel,-,-,-,"$120,727,282",3747,"$219,614,612",Dec 23,Twentieth Century Fox,False
24,25,Inglourious Basterds,-,-,-,"$120,540,719",3358,"$120,540,719",Aug 21,The Weinstein Company,False
25,26,G-Force,-,-,-,"$119,436,770",3697,"$119,436,770",Jul 24,Walt Disney Studios Motion Pictures,False
26,27,Slumdog Millionaire,-,-,-,"$119,092,566",2943,"$141,319,928",Nov 12,-,False
27,28,District 9,-,-,-,"$115,646,235",3180,"$115,646,235",Aug 14,TriStar Pictures,False
28,29,Couples Retreat,-,-,-,"$108,297,465",3074,"$109,204,945",Oct 9,Universal Pictures,False
29,30,Paranormal Activity,-,-,-,"$107,792,845",2712,"$107,918,810",Sep 25,Paramount Pictures,False
30,31,Watchmen,-,-,-,"$107,509,799",3611,"$107,509,799",Mar 6,Warner Bros.,False
31,32,Sherlock Holmes,-,-,-,"$102,102,956",3626,"$209,028,679",Dec 25,Warner Bros.,False
32,33,Public Enemies,-,-,-,"$97,104,620",3336,"$97,104,620",Jul 1,Universal Pictures,False
33,34,Julie & Julia,-,-,-,"$94,125,426",2528,"$94,125,426",Aug 7,Sony Pictures Entertainment (SPE),False
34,35,He's Just Not That Into You,-,-,-,"$93,953,653",3175,"$93,953,653",Feb 6,Warner Bros.,False
35,36,Madea Goes to Jail,-,-,-,"$90,508,336",2203,"$90,508,336",Feb 20,Lionsgate,False
36,37,The Ugly Truth,-,-,-,"$88,915,214",2975,"$88,915,214",Jul 24,Sony Pictures Entertainment (SPE),False
37,38,Knowing,-,-,-,"$79,957,634",3337,"$79,957,634",Mar 20,Summit Entertainment,False
38,39,Hannah Montana: The Movie,-,-,-,"$79,576,189",3231,"$79,576,189",Apr 10,Walt Disney Studios Motion Pictures,False
39,40,Where the Wild Things Are,-,-,-,"$76,301,979",3735,"$77,233,467",Oct 16,Warner Bros.,False
40,41,The Princess and the Frog,-,-,-,"$76,035,028",3475,"$104,400,899",Nov 25,Walt Disney Studios Motion Pictures,False
41,42,Zombieland,-,-,-,"$75,590,286",3171,"$75,590,286",Oct 2,Sony Pictures Entertainment (SPE),False
42,43,Coraline,-,-,-,"$75,286,229",2320,"$75,286,229",Feb 6,Focus Features,False
43,44,The Curious Case of Benjamin Button,-,-,-,"$74,843,178",2988,"$127,509,326",Dec 25,Paramount Pictures,False
44,45,Hotel for Dogs,-,-,-,"$73,034,460",3271,"$73,034,460",Jan 16,DreamWorks,False
45,46,Law Abiding Citizen,-,-,-,"$72,764,227",2890,"$73,357,727",Oct 16,Overture Films,False
46,47,This Is It,-,-,-,"$72,091,016",3481,"$72,091,016",Oct 28,Sony Pictures Entertainment (SPE),False
47,48,"I Love You, Man",-,-,-,"$71,440,011",2829,"$71,440,011",Mar 20,DreamWorks,False
48,49,Marley & Me,-,-,-,"$70,709,680",3505,"$143,153,751",Dec 25,Twentieth Century Fox,False
49,50,Obsessed,-,-,-,"$68,261,644",2634,"$68,261,644",Apr 24,Screen Gems,False
50,51,Race to Witch Mountain,-,-,-,"$67,172,594",3268,"$67,172,594",Mar 13,Walt Disney Studios Motion Pictures,False
51,52,The Final Destination,-,-,-,"$66,477,700",3121,"$66,477,700",Aug 28,Warner Bros.,False
52,53,The Taking of Pelham 123,-,-,-,"$65,452,312",3077,"$65,452,312",Jun 12,Sony Pictures Entertainment (SPE),False
53,54,Friday the 13th,-,-,-,"$65,002,019",3105,"$65,002,019",Feb 13,Warner Bros.,False
