,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Iron Man 3,-,-,-,"$409,013,994",4253,"$409,013,994",May 3,Walt Disney Studios Motion Pictures,False
1,2,The Hunger Games: Catching Fire,-,-,-,"$395,526,705",4163,"$424,668,047",Nov 22,Lionsgate,False
2,3,Despicable Me 2,-,-,-,"$367,793,270",4003,"$368,065,385",Jul 3,Universal Pictures,False
3,4,Man of Steel,-,-,-,"$291,045,518",4207,"$291,045,518",Jun 14,Warner Bros.,False
4,5,Monsters University,-,-,-,"$268,492,764",4004,"$268,492,764",Jun 21,Walt Disney Studios Motion Pictures,False
5,6,Frozen,-,-,-,"$263,092,648",3742,"$400,738,009",Nov 22,Walt Disney Studios Motion Pictures,False
6,7,Gravity,-,-,-,"$254,861,229",3820,"$274,092,705",Oct 4,Warner Bros.,False
7,8,Fast & Furious 6,-,-,-,"$238,679,850",3771,"$238,679,850",May 24,Universal Pictures,False
8,9,Oz the Great and Powerful,-,-,-,"$234,911,825",3912,"$234,911,825",Mar 8,Walt Disney Studios Motion Pictures,False
9,10,Star Trek Into Darkness,-,-,-,"$228,778,661",3907,"$228,778,661",May 16,Paramount Pictures,False
10,11,Thor: The Dark World,-,-,-,"$202,651,732",3841,"$206,362,140",Nov 8,Walt Disney Studios Motion Pictures,False
11,12,World War Z,-,-,-,"$202,359,711",3607,"$202,359,711",Jun 21,Paramount Pictures,False
12,13,The Hobbit: The Desolation of Smaug,-,-,-,"$201,542,078",3928,"$258,366,855",Dec 13,Warner Bros.,False
13,14,The Croods,-,-,-,"$187,168,425",4065,"$187,168,425",Mar 22,Twentieth Century Fox,False
14,15,The Heat,-,-,-,"$159,582,188",3184,"$159,582,188",Jun 28,Twentieth Century Fox,False
15,16,We're the Millers,-,-,-,"$150,394,119",3445,"$150,394,119",Aug 7,Warner Bros.,False
16,17,The Great Gatsby,-,-,-,"$144,840,419",3550,"$144,840,419",May 10,Warner Bros.,False
17,18,The Conjuring,-,-,-,"$137,400,141",3115,"$137,400,141",Jul 19,Warner Bros.,False
18,19,Identity Thief,-,-,-,"$134,506,920",3230,"$134,506,920",Feb 8,Universal Pictures,False
19,20,Grown Ups 2,-,-,-,"$133,668,525",3491,"$133,668,525",Jul 12,Sony Pictures Entertainment (SPE),False
20,21,The Wolverine,-,-,-,"$132,556,852",3924,"$132,556,852",Jul 26,Twentieth Century Fox,False
