,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Finding Dory,-,-,-,"$486,295,561",4305,"$486,295,561",Jun 17,Walt Disney Studios Motion Pictures,False
1,2,Rogue One: A Star Wars Story,-,-,-,"$408,235,850",4157,"$532,177,324",Dec 16,Walt Disney Studios Motion Pictures,False
2,3,Captain America: Civil War,-,-,-,"$408,084,349",4226,"$408,084,349",May 6,Walt Disney Studios Motion Pictures,False
3,4,The Secret Life of Pets,-,-,-,"$368,384,330",4381,"$368,384,330",Jul 8,Universal Pictures,False
4,5,The Jungle Book,-,-,-,"$364,001,123",4144,"$364,001,123",Apr 15,Walt Disney Studios Motion Pictures,False
5,6,Deadpool,-,-,-,"$363,070,709",3856,"$363,070,709",Feb 12,Twentieth Century Fox,False
6,7,Zootopia,-,-,-,"$341,268,248",3959,"$341,268,248",Mar 4,Walt Disney Studios Motion Pictures,False
7,8,Batman v Superman: Dawn of Justice,-,-,-,"$330,360,194",4256,"$330,360,194",Mar 25,Warner Bros.,False
8,9,Suicide Squad,-,-,-,"$325,100,054",4255,"$325,100,054",Aug 5,Warner Bros.,False
9,10,Star Wars: Episode VII - The Force Awakens,-,-,-,"$284,694,956",4134,"$936,662,225",Dec 18,Walt Disney Studios Motion Pictures,False
10,11,Doctor Strange,-,-,-,"$229,876,337",3882,"$232,641,920",Nov 4,Walt Disney Studios Motion Pictures,False
11,12,Fantastic Beasts and Where to Find Them,-,-,-,"$222,675,573",4144,"$234,037,575",Nov 18,Warner Bros.,False
12,13,Moana,-,-,-,"$206,477,478",3875,"$248,757,044",Nov 23,Walt Disney Studios Motion Pictures,False
13,14,The Revenant,-,-,-,"$182,765,375",3711,"$183,637,894",Dec 25,Twentieth Century Fox,False
14,15,Jason Bourne,-,-,-,"$162,434,410",4039,"$162,434,410",Jul 29,Universal Pictures,False
15,16,Star Trek Beyond,-,-,-,"$158,848,340",3928,"$158,848,340",Jul 22,Paramount Pictures,False
16,17,X-Men: Apocalypse,-,-,-,"$155,442,489",4153,"$155,442,489",May 27,Twentieth Century Fox,False
17,18,Sing,-,-,-,"$152,853,995",4029,"$270,395,425",Dec 21,Universal Pictures,False
18,19,Trolls,-,-,-,"$150,130,292",4066,"$153,707,064",Nov 4,Twentieth Century Fox,False
19,20,Kung Fu Panda 3,-,-,-,"$143,528,619",3987,"$143,528,619",Jan 29,Twentieth Century Fox,False
20,21,Ghostbusters,-,-,-,"$128,350,574",3963,"$128,350,574",Jul 15,Sony Pictures Entertainment (SPE),False
21,22,Central Intelligence,-,-,-,"$127,440,871",3508,"$127,440,871",Jun 17,Warner Bros.,False
22,23,The Legend of Tarzan,-,-,-,"$126,643,061",3591,"$126,643,061",Jul 1,Warner Bros.,False
23,24,Sully,-,-,-,"$124,976,335",3955,"$125,070,033",Sep 9,Warner Bros.,False
24,25,Bad Moms,-,-,-,"$113,257,297",3215,"$113,257,297",Jul 29,STX Entertainment,False
25,26,The Angry Birds Movie,-,-,-,"$107,509,366",3932,"$107,509,366",May 20,Sony Pictures Entertainment (SPE),False
26,27,Independence Day: Resurgence,-,-,-,"$103,144,286",4130,"$103,144,286",Jun 24,Twentieth Century Fox,False
27,28,The Conjuring 2,-,-,-,"$102,470,008",3356,"$102,470,008",Jun 10,Warner Bros.,False
28,29,Sausage Party,-,-,-,"$97,685,686",3135,"$97,685,686",Aug 12,Sony Pictures Entertainment (SPE),False
29,30,The Magnificent Seven,-,-,-,"$93,420,253",3696,"$93,432,655",Sep 23,Sony Pictures Entertainment (SPE),False
30,31,Arrival,-,-,-,"$91,676,099",3115,"$100,546,139",Nov 11,Paramount Pictures,False
31,32,Ride Along 2,-,-,-,"$91,221,830",3192,"$91,221,830",Jan 15,Universal Pictures,False
32,33,Don't Breathe,-,-,-,"$89,217,875",3384,"$89,217,875",Aug 26,Screen Gems,False
33,34,Miss Peregrine's Home for Peculiar Children,-,-,-,"$86,945,137",3835,"$87,242,834",Sep 30,Twentieth Century Fox,False
34,35,The Accountant,-,-,-,"$85,856,696",3402,"$86,260,045",Oct 14,Warner Bros.,False
35,36,Daddy's Home,-,-,-,"$85,672,859",3483,"$150,357,137",Dec 25,Paramount Pictures,False
36,37,Teenage Mutant Ninja Turtles: Out of the Shadows,-,-,-,"$82,051,601",4071,"$82,051,601",Jun 3,Paramount Pictures,False
37,38,The Purge: Election Year,-,-,-,"$79,213,375",2821,"$79,213,375",Jul 1,Universal Pictures,False
38,39,Alice Through the Looking Glass,-,-,-,"$77,041,381",3763,"$77,041,381",May 27,Walt Disney Studios Motion Pictures,False
39,40,Pete's Dragon,-,-,-,"$76,233,151",3702,"$76,233,151",Aug 12,Walt Disney Studios Motion Pictures,False
40,41,The Girl on the Train,-,-,-,"$75,395,035",3241,"$75,395,035",Oct 7,Universal Pictures,False
41,42,Boo! A Madea Halloween,-,-,-,"$73,206,343",2299,"$73,206,343",Oct 21,Lionsgate,False
42,43,Storks,-,-,-,"$72,414,850",3922,"$72,679,278",Sep 23,Warner Bros.,False
43,44,10 Cloverfield Lane,-,-,-,"$72,082,998",3427,"$72,082,998",Mar 11,Paramount Pictures,False
44,45,Lights Out,-,-,-,"$67,268,835",2835,"$67,268,835",Jul 22,Warner Bros.,False
45,46,Allegiant,-,-,-,"$66,184,051",3740,"$66,184,051",Mar 18,Lionsgate,False
