,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Jurassic World,-,-,-,"$652,270,625",4291,"$652,270,625",Jun 12,Universal Pictures,False
1,2,Star Wars: Episode VII - The Force Awakens,-,-,-,"$651,967,269",4134,"$936,662,225",Dec 18,Walt Disney Studios Motion Pictures,False
2,3,Avengers: Age of Ultron,-,-,-,"$459,005,868",4276,"$459,005,868",May 1,Walt Disney Studios Motion Pictures,False
3,4,Inside Out,-,-,-,"$356,461,711",4158,"$356,461,711",Jun 19,Walt Disney Studios Motion Pictures,False
4,5,Furious 7,-,-,-,"$353,007,020",4022,"$353,007,020",Apr 3,Universal Pictures,False
5,6,American Sniper,-,-,-,"$348,797,073",3885,"$350,126,372",Dec 25,Warner Bros.,False
6,7,Minions,-,-,-,"$336,045,770",4311,"$336,045,770",Jul 10,Universal Pictures,False
7,8,The Hunger Games: Mockingjay - Part 2,-,-,-,"$269,569,121",4175,"$281,723,902",Nov 20,Lionsgate,False
8,9,The Martian,-,-,-,"$225,345,353",3854,"$228,433,663",Oct 2,Twentieth Century Fox,False
9,10,Cinderella,-,-,-,"$201,151,353",3848,"$201,151,353",Mar 13,Walt Disney Studios Motion Pictures,False
10,11,Spectre,-,-,-,"$197,102,585",3929,"$200,074,609",Nov 6,Sony Pictures Entertainment (SPE),False
11,12,Mission: Impossible - Rogue Nation,-,-,-,"$195,042,377",3988,"$195,042,377",Jul 31,Paramount Pictures,False
12,13,Pitch Perfect 2,-,-,-,"$183,785,415",3660,"$184,296,230",May 15,Universal Pictures,False
13,14,Ant-Man,-,-,-,"$180,202,163",3868,"$180,202,163",Jul 17,Walt Disney Studios Motion Pictures,False
14,15,Home,-,-,-,"$177,397,510",3801,"$177,397,510",Mar 27,Twentieth Century Fox,False
15,16,Hotel Transylvania 2,-,-,-,"$168,471,018",3768,"$169,700,110",Sep 25,Sony Pictures Entertainment (SPE),False
16,17,Fifty Shades of Grey,-,-,-,"$166,167,230",3655,"$166,167,230",Feb 13,Universal Pictures,False
17,18,The SpongeBob Movie: Sponge Out of Water,-,-,-,"$162,994,032",3680,"$162,994,032",Feb 6,Paramount Pictures,False
18,19,Straight Outta Compton,-,-,-,"$161,197,785",3142,"$161,197,785",Aug 14,Universal Pictures,False
19,20,San Andreas,-,-,-,"$155,190,832",3812,"$155,190,832",May 29,Warner Bros.,False
20,21,Mad Max: Fury Road,-,-,-,"$153,636,354",3722,"$153,636,354",May 15,Warner Bros.,False
21,22,The Divergent Series: Insurgent,-,-,-,"$130,179,072",3875,"$130,179,072",Mar 20,Lionsgate,False
22,23,Kingsman: The Secret Service,-,-,-,"$128,261,724",3282,"$128,261,724",Feb 13,Twentieth Century Fox,False
23,24,The Peanuts Movie,-,-,-,"$128,235,584",3902,"$130,178,411",Nov 6,Twentieth Century Fox,False
24,25,Spy,-,-,-,"$110,825,712",3715,"$110,825,712",Jun 5,Twentieth Century Fox,False
25,26,The Good Dinosaur,-,-,-,"$110,716,470",3749,"$123,087,120",Nov 25,Walt Disney Studios Motion Pictures,False
26,27,Trainwreck,-,-,-,"$110,212,700",3171,"$110,212,700",Jul 17,Universal Pictures,False
27,28,Creed,-,-,-,"$99,385,165",3502,"$109,767,581",Nov 25,Warner Bros.,False
28,29,Tomorrowland,-,-,-,"$93,436,322",3972,"$93,436,322",May 22,Walt Disney Studios Motion Pictures,False
29,30,Get Hard,-,-,-,"$90,411,453",3212,"$90,411,453",Mar 27,Warner Bros.,False
30,31,Terminator Genisys,-,-,-,"$89,760,956",3783,"$89,760,956",Jul 1,Paramount Pictures,False
31,32,Taken 3,-,-,-,"$89,256,424",3594,"$89,256,424",Jan 9,Twentieth Century Fox,False
32,33,Maze Runner: The Scorch Trials,-,-,-,"$81,630,702",3792,"$81,697,192",Sep 18,Twentieth Century Fox,False
33,34,Ted 2,-,-,-,"$81,476,385",3448,"$81,476,385",Jun 26,Universal Pictures,False
34,35,Goosebumps,-,-,-,"$79,132,868",3618,"$80,080,379",Oct 16,Sony Pictures Entertainment (SPE),False
35,36,Pixels,-,-,-,"$78,747,585",3723,"$78,747,585",Jul 24,Sony Pictures Entertainment (SPE),False
36,37,Paddington,-,-,-,"$76,271,832",3355,"$76,271,832",Jan 16,-,False
37,38,The Intern,-,-,-,"$75,574,886",3320,"$75,764,672",Sep 25,Warner Bros.,False
38,39,The Imitation Game,-,-,-,"$71,189,164",2402,"$91,125,683",Nov 28,The Weinstein Company,False
39,40,Paul Blart: Mall Cop 2,-,-,-,"$71,038,190",3633,"$71,038,190",Apr 17,Sony Pictures Entertainment (SPE),False
40,41,Bridge of Spies,-,-,-,"$70,447,776",2873,"$72,313,754",Oct 16,Walt Disney Studios Motion Pictures,False
41,42,War Room,-,-,-,"$67,790,117",1945,"$67,790,117",Aug 28,TriStar Pictures,False
42,43,Magic Mike XXL,-,-,-,"$66,013,057",3376,"$66,013,057",Jul 1,Warner Bros.,False
43,44,The Hobbit: The Battle of the Five Armies,-,-,-,"$65,570,462",3875,"$255,119,788",Dec 17,Warner Bros.,False
44,45,The Visit,-,-,-,"$65,206,105",3148,"$65,206,105",Sep 11,Universal Pictures,False
45,46,Daddy's Home,-,-,-,"$64,684,278",3483,"$150,357,137",Dec 25,Paramount Pictures,False
46,47,The Wedding Ringer,-,-,-,"$64,460,211",3003,"$64,460,211",Jan 16,Screen Gems,False
47,48,Into the Woods,-,-,-,"$63,940,268",2833,"$128,002,372",Dec 25,Walt Disney Studios Motion Pictures,False
