,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,The Dark Knight,-,-,-,"$530,924,926",4366,"$533,345,358",Jul 18,Warner Bros.,False
1,2,Iron Man,-,-,-,"$318,313,199",4154,"$318,604,126",May 2,Paramount Pictures,False
2,3,Indiana Jones and the Kingdom of the Crystal Skull,-,-,-,"$317,101,119",4264,"$317,101,119",May 22,Paramount Pictures,False
3,4,Hancock,-,-,-,"$227,946,274",3965,"$227,946,274",Jul 2,Sony Pictures Entertainment (SPE),False
4,5,WALL·E,-,-,-,"$223,790,612",3992,"$223,808,164",Jun 27,Walt Disney Studios Motion Pictures,False
5,6,Kung Fu Panda,-,-,-,"$215,434,591",4136,"$215,434,591",Jun 6,DreamWorks,False
6,7,Madagascar: Escape 2 Africa,-,-,-,"$175,687,934",4065,"$180,010,950",Nov 7,DreamWorks,False
7,8,Twilight,-,-,-,"$170,672,976",3649,"$192,769,854",Nov 21,Summit Entertainment,False
8,9,Quantum of Solace,-,-,-,"$165,258,802",3501,"$168,368,427",Nov 14,Sony Pictures Entertainment (SPE),False
9,10,Horton Hears a Who!,-,-,-,"$154,529,439",3961,"$154,529,439",Mar 14,Twentieth Century Fox,False
10,11,Sex and the City,-,-,-,"$152,647,258",3325,"$152,647,258",May 30,Warner Bros.,False
11,12,Mamma Mia!,-,-,-,"$144,130,063",3194,"$144,130,063",Jul 18,Universal Pictures,False
12,13,The Chronicles of Narnia: Prince Caspian,-,-,-,"$141,621,490",3929,"$141,621,490",May 16,Walt Disney Studios Motion Pictures,False
13,14,The Incredible Hulk,-,-,-,"$134,806,913",3508,"$134,806,913",Jun 13,Universal Pictures,False
14,15,Wanted,-,-,-,"$134,508,551",3185,"$134,508,551",Jun 27,Universal Pictures,False
15,16,Get Smart,-,-,-,"$130,319,208",3915,"$130,319,208",Jun 20,Warner Bros.,False
16,17,Juno,-,-,-,"$115,568,813",2534,"$143,495,265",Dec 5,-,False
17,18,Four Christmases,-,-,-,"$114,136,302",3540,"$120,146,040",Nov 26,Warner Bros.,False
